fonte,paese_iso3,periodo,nome_file,url_originale,data_download,note
acled,RUS,2018-2024,RUS_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,CHN,2018-2024,CHN_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,PRK,2018-2024,PRK_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,IRN,2018-2024,IRN_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,UKR,2018-2024,UKR_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,SDN,2018-2024,SDN_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,YEM,2018-2024,YEM_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,SYR,2018-2024,SYR_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,ETH,2018-2024,ETH_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,VEN,2018-2024,VEN_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,USA,2018-2024,USA_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,ISR,2018-2024,ISR_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,KOR,2018-2024,KOR_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,SAU,2018-2024,SAU_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,ITA,2018-2024,ITA_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,EST,2018-2024,EST_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,RUS,2018-2024,RUS_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,CHN,2018-2024,CHN_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,PRK,2018-2024,PRK_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,IRN,2018-2024,IRN_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,UKR,2018-2024,UKR_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,SDN,2018-2024,SDN_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,YEM,2018-2024,YEM_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,SYR,2018-2024,SYR_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,ETH,2018-2024,ETH_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,VEN,2018-2024,VEN_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,USA,2018-2024,USA_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,ISR,2018-2024,ISR_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,KOR,2018-2024,KOR_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,SAU,2018-2024,SAU_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,ITA,2018-2024,ITA_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,EST,2018-2024,EST_vittime-annuali_2018-2024.csv,aggregated data - reported fatalities by country-year,2026-07-04,
acled,RUS,2018-2024,RUS_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,CHN,2018-2024,CHN_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,PRK,2018-2024,PRK_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,IRN,2018-2024,IRN_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,UKR,2018-2024,UKR_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,SDN,2018-2024,SDN_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,SSD,2018-2024,SSD_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,YEM,2018-2024,YEM_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,SYR,2018-2024,SYR_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,ETH,2018-2024,ETH_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,VEN,2018-2024,VEN_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,USA,2018-2024,USA_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,ISR,2018-2024,ISR_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,KOR,2018-2024,KOR_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,SAU,2018-2024,SAU_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,ITA,2018-2024,ITA_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
acled,EST,2018-2024,EST_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-04,
