iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
CHN,2018-Q1,212039,94351,0,annuale
CHN,2018-Q2,212039,94351,0,annuale
CHN,2018-Q3,212039,94351,0,annuale
CHN,2018-Q4,212039,94351,0,annuale
CHN,2019-Q1,212863,104248,0,annuale
CHN,2019-Q2,212863,104248,0,annuale
CHN,2019-Q3,212863,104248,0,annuale
CHN,2019-Q4,212863,104248,0,annuale
CHN,2020-Q1,175361,108071,0,annuale
CHN,2020-Q2,175361,108071,0,annuale
CHN,2020-Q3,175361,108071,0,annuale
CHN,2020-Q4,175361,108071,0,annuale
CHN,2021-Q1,170222,118476,0,annuale
CHN,2021-Q2,170222,118476,0,annuale
CHN,2021-Q3,170222,118476,0,annuale
CHN,2021-Q4,170222,118476,0,annuale
CHN,2022-Q1,161366,116338,0,annuale
CHN,2022-Q2,161366,116338,0,annuale
CHN,2022-Q3,161366,116338,0,annuale
CHN,2022-Q4,161366,116338,0,annuale
CHN,2023-Q1,160565,137143,0,annuale
CHN,2023-Q2,160565,137143,0,annuale
CHN,2023-Q3,160565,137143,0,annuale
CHN,2023-Q4,160565,137143,0,annuale
CHN,2024-Q1,153564,180960,0,annuale
CHN,2024-Q2,153564,180960,0,annuale
CHN,2024-Q3,153564,180960,0,annuale
CHN,2024-Q4,153564,180960,0,annuale
