iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
EST,2018-Q1,281,37,0,annuale
EST,2018-Q2,281,37,0,annuale
EST,2018-Q3,281,37,0,annuale
EST,2018-Q4,281,37,0,annuale
EST,2019-Q1,274,55,0,annuale
EST,2019-Q2,274,55,0,annuale
EST,2019-Q3,274,55,0,annuale
EST,2019-Q4,274,55,0,annuale
EST,2020-Q1,277,43,0,annuale
EST,2020-Q2,277,43,0,annuale
EST,2020-Q3,277,43,0,annuale
EST,2020-Q4,277,43,0,annuale
EST,2021-Q1,271,48,0,annuale
EST,2021-Q2,271,48,0,annuale
EST,2021-Q3,271,48,0,annuale
EST,2021-Q4,271,48,0,annuale
EST,2022-Q1,45,61,0,annuale
EST,2022-Q2,45,61,0,annuale
EST,2022-Q3,45,61,0,annuale
EST,2022-Q4,45,61,0,annuale
EST,2023-Q1,60,58,0,annuale
EST,2023-Q2,60,58,0,annuale
EST,2023-Q3,60,58,0,annuale
EST,2023-Q4,60,58,0,annuale
EST,2024-Q1,126,62,0,annuale
EST,2024-Q2,126,62,0,annuale
EST,2024-Q3,126,62,0,annuale
EST,2024-Q4,126,62,0,annuale
