iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
ETH,2018-Q1,92232,133254,2615800,annuale
ETH,2018-Q2,92232,133254,2615800,annuale
ETH,2018-Q3,92232,133254,2615800,annuale
ETH,2018-Q4,92232,133254,2615800,annuale
ETH,2019-Q1,93467,135267,1733628,annuale
ETH,2019-Q2,93467,135267,1733628,annuale
ETH,2019-Q3,93467,135267,1733628,annuale
ETH,2019-Q4,93467,135267,1733628,annuale
ETH,2020-Q1,151426,125072,2733628,annuale
ETH,2020-Q2,151426,125072,2733628,annuale
ETH,2020-Q3,151426,125072,2733628,annuale
ETH,2020-Q4,151426,125072,2733628,annuale
ETH,2021-Q1,149130,139211,3646267,annuale
ETH,2021-Q2,149130,139211,3646267,annuale
ETH,2021-Q3,149130,139211,3646267,annuale
ETH,2021-Q4,149130,139211,3646267,annuale
ETH,2022-Q1,149603,121362,2730000,annuale
ETH,2022-Q2,149603,121362,2730000,annuale
ETH,2022-Q3,149603,121362,2730000,annuale
ETH,2022-Q4,149603,121362,2730000,annuale
ETH,2023-Q1,158344,139424,2561497,annuale
ETH,2023-Q2,158344,139424,2561497,annuale
ETH,2023-Q3,158344,139424,2561497,annuale
ETH,2023-Q4,158344,139424,2561497,annuale
ETH,2024-Q1,164423,158142,2272533,annuale
ETH,2024-Q2,164423,158142,2272533,annuale
ETH,2024-Q3,164423,158142,2272533,annuale
ETH,2024-Q4,164423,158142,2272533,annuale
