iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
IRN,2018-Q1,129941,87367,0,annuale
IRN,2018-Q2,129941,87367,0,annuale
IRN,2018-Q3,129941,87367,0,annuale
IRN,2018-Q4,129941,87367,0,annuale
IRN,2019-Q1,128998,86093,0,annuale
IRN,2019-Q2,128998,86093,0,annuale
IRN,2019-Q3,128998,86093,0,annuale
IRN,2019-Q4,128998,86093,0,annuale
IRN,2020-Q1,135018,77229,0,annuale
IRN,2020-Q2,135018,77229,0,annuale
IRN,2020-Q3,135018,77229,0,annuale
IRN,2020-Q4,135018,77229,0,annuale
IRN,2021-Q1,142994,68940,0,annuale
IRN,2021-Q2,142994,68940,0,annuale
IRN,2021-Q3,142994,68940,0,annuale
IRN,2021-Q4,142994,68940,0,annuale
IRN,2022-Q1,122764,69237,0,annuale
IRN,2022-Q2,122764,69237,0,annuale
IRN,2022-Q3,122764,69237,0,annuale
IRN,2022-Q4,122764,69237,0,annuale
IRN,2023-Q1,151757,63959,0,annuale
IRN,2023-Q2,151757,63959,0,annuale
IRN,2023-Q3,151757,63959,0,annuale
IRN,2023-Q4,151757,63959,0,annuale
IRN,2024-Q1,158171,61176,0,annuale
IRN,2024-Q2,158171,61176,0,annuale
IRN,2024-Q3,158171,61176,0,annuale
IRN,2024-Q4,158171,61176,0,annuale
