iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
ISR,2018-Q1,492,683,0,annuale
ISR,2018-Q2,492,683,0,annuale
ISR,2018-Q3,492,683,0,annuale
ISR,2018-Q4,492,683,0,annuale
ISR,2019-Q1,452,690,0,annuale
ISR,2019-Q2,452,690,0,annuale
ISR,2019-Q3,452,690,0,annuale
ISR,2019-Q4,452,690,0,annuale
ISR,2020-Q1,373,663,0,annuale
ISR,2020-Q2,373,663,0,annuale
ISR,2020-Q3,373,663,0,annuale
ISR,2020-Q4,373,663,0,annuale
ISR,2021-Q1,453,807,0,annuale
ISR,2021-Q2,453,807,0,annuale
ISR,2021-Q3,453,807,0,annuale
ISR,2021-Q4,453,807,0,annuale
ISR,2022-Q1,902,813,0,annuale
ISR,2022-Q2,902,813,0,annuale
ISR,2022-Q3,902,813,0,annuale
ISR,2022-Q4,902,813,0,annuale
ISR,2023-Q1,855,1232,0,annuale
ISR,2023-Q2,855,1232,0,annuale
ISR,2023-Q3,855,1232,0,annuale
ISR,2023-Q4,855,1232,0,annuale
ISR,2024-Q1,1307,1659,0,annuale
ISR,2024-Q2,1307,1659,0,annuale
ISR,2024-Q3,1307,1659,0,annuale
ISR,2024-Q4,1307,1659,0,annuale
