iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
ITA,2018-Q1,69,381,0,annuale
ITA,2018-Q2,69,381,0,annuale
ITA,2018-Q3,69,381,0,annuale
ITA,2018-Q4,69,381,0,annuale
ITA,2019-Q1,76,431,0,annuale
ITA,2019-Q2,76,431,0,annuale
ITA,2019-Q3,76,431,0,annuale
ITA,2019-Q4,76,431,0,annuale
ITA,2020-Q1,62,471,0,annuale
ITA,2020-Q2,62,471,0,annuale
ITA,2020-Q3,62,471,0,annuale
ITA,2020-Q4,62,471,0,annuale
ITA,2021-Q1,61,639,0,annuale
ITA,2021-Q2,61,639,0,annuale
ITA,2021-Q3,61,639,0,annuale
ITA,2021-Q4,61,639,0,annuale
ITA,2022-Q1,151,670,0,annuale
ITA,2022-Q2,151,670,0,annuale
ITA,2022-Q3,151,670,0,annuale
ITA,2022-Q4,151,670,0,annuale
ITA,2023-Q1,124,1487,0,annuale
ITA,2023-Q2,124,1487,0,annuale
ITA,2023-Q3,124,1487,0,annuale
ITA,2023-Q4,124,1487,0,annuale
ITA,2024-Q1,263,1857,0,annuale
ITA,2024-Q2,263,1857,0,annuale
ITA,2024-Q3,263,1857,0,annuale
ITA,2024-Q4,263,1857,0,annuale
