iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
KOR,2018-Q1,274,536,0,annuale
KOR,2018-Q2,274,536,0,annuale
KOR,2018-Q3,274,536,0,annuale
KOR,2018-Q4,274,536,0,annuale
KOR,2019-Q1,180,643,0,annuale
KOR,2019-Q2,180,643,0,annuale
KOR,2019-Q3,180,643,0,annuale
KOR,2019-Q4,180,643,0,annuale
KOR,2020-Q1,146,723,0,annuale
KOR,2020-Q2,146,723,0,annuale
KOR,2020-Q3,146,723,0,annuale
KOR,2020-Q4,146,723,0,annuale
KOR,2021-Q1,117,893,0,annuale
KOR,2021-Q2,117,893,0,annuale
KOR,2021-Q3,117,893,0,annuale
KOR,2021-Q4,117,893,0,annuale
KOR,2022-Q1,132,880,0,annuale
KOR,2022-Q2,132,880,0,annuale
KOR,2022-Q3,132,880,0,annuale
KOR,2022-Q4,132,880,0,annuale
KOR,2023-Q1,107,939,0,annuale
KOR,2023-Q2,107,939,0,annuale
KOR,2023-Q3,107,939,0,annuale
KOR,2023-Q4,107,939,0,annuale
KOR,2024-Q1,142,1089,0,annuale
KOR,2024-Q2,142,1089,0,annuale
KOR,2024-Q3,142,1089,0,annuale
KOR,2024-Q4,142,1089,0,annuale
