iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
PRK,2018-Q1,797,146,0,annuale
PRK,2018-Q2,797,146,0,annuale
PRK,2018-Q3,797,146,0,annuale
PRK,2018-Q4,797,146,0,annuale
PRK,2019-Q1,758,112,0,annuale
PRK,2019-Q2,758,112,0,annuale
PRK,2019-Q3,758,112,0,annuale
PRK,2019-Q4,758,112,0,annuale
PRK,2020-Q1,689,88,0,annuale
PRK,2020-Q2,689,88,0,annuale
PRK,2020-Q3,689,88,0,annuale
PRK,2020-Q4,689,88,0,annuale
PRK,2021-Q1,528,108,0,annuale
PRK,2021-Q2,528,108,0,annuale
PRK,2021-Q3,528,108,0,annuale
PRK,2021-Q4,528,108,0,annuale
PRK,2022-Q1,267,127,0,annuale
PRK,2022-Q2,267,127,0,annuale
PRK,2022-Q3,267,127,0,annuale
PRK,2022-Q4,267,127,0,annuale
PRK,2023-Q1,239,96,0,annuale
PRK,2023-Q2,239,96,0,annuale
PRK,2023-Q3,239,96,0,annuale
PRK,2023-Q4,239,96,0,annuale
PRK,2024-Q1,283,105,0,annuale
PRK,2024-Q2,283,105,0,annuale
PRK,2024-Q3,283,105,0,annuale
PRK,2024-Q4,283,105,0,annuale
