iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
RUS,2018-Q1,61457,43268,0,annuale
RUS,2018-Q2,61457,43268,0,annuale
RUS,2018-Q3,61457,43268,0,annuale
RUS,2018-Q4,61457,43268,0,annuale
RUS,2019-Q1,62353,48282,0,annuale
RUS,2019-Q2,62353,48282,0,annuale
RUS,2019-Q3,62353,48282,0,annuale
RUS,2019-Q4,62353,48282,0,annuale
RUS,2020-Q1,52742,44399,0,annuale
RUS,2020-Q2,52742,44399,0,annuale
RUS,2020-Q3,52742,44399,0,annuale
RUS,2020-Q4,52742,44399,0,annuale
RUS,2021-Q1,68547,42959,0,annuale
RUS,2021-Q2,68547,42959,0,annuale
RUS,2021-Q3,68547,42959,0,annuale
RUS,2021-Q4,68547,42959,0,annuale
RUS,2022-Q1,80093,66373,0,annuale
RUS,2022-Q2,80093,66373,0,annuale
RUS,2022-Q3,80093,66373,0,annuale
RUS,2022-Q4,80093,66373,0,annuale
RUS,2023-Q1,86135,114669,0,annuale
RUS,2023-Q2,86135,114669,0,annuale
RUS,2023-Q3,86135,114669,0,annuale
RUS,2023-Q4,86135,114669,0,annuale
RUS,2024-Q1,96869,125962,0,annuale
RUS,2024-Q2,96869,125962,0,annuale
RUS,2024-Q3,96869,125962,0,annuale
RUS,2024-Q4,96869,125962,0,annuale
