iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
SAU,2018-Q1,1492,1436,0,annuale
SAU,2018-Q2,1492,1436,0,annuale
SAU,2018-Q3,1492,1436,0,annuale
SAU,2018-Q4,1492,1436,0,annuale
SAU,2019-Q1,1721,1410,0,annuale
SAU,2019-Q2,1721,1410,0,annuale
SAU,2019-Q3,1721,1410,0,annuale
SAU,2019-Q4,1721,1410,0,annuale
SAU,2020-Q1,2003,1249,0,annuale
SAU,2020-Q2,2003,1249,0,annuale
SAU,2020-Q3,2003,1249,0,annuale
SAU,2020-Q4,2003,1249,0,annuale
SAU,2021-Q1,2167,1541,0,annuale
SAU,2021-Q2,2167,1541,0,annuale
SAU,2021-Q3,2167,1541,0,annuale
SAU,2021-Q4,2167,1541,0,annuale
SAU,2022-Q1,1942,2537,0,annuale
SAU,2022-Q2,1942,2537,0,annuale
SAU,2022-Q3,1942,2537,0,annuale
SAU,2022-Q4,1942,2537,0,annuale
SAU,2023-Q1,2090,1640,0,annuale
SAU,2023-Q2,2090,1640,0,annuale
SAU,2023-Q3,2090,1640,0,annuale
SAU,2023-Q4,2090,1640,0,annuale
SAU,2024-Q1,2332,1539,0,annuale
SAU,2024-Q2,2332,1539,0,annuale
SAU,2024-Q3,2332,1539,0,annuale
SAU,2024-Q4,2332,1539,0,annuale
