iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
SDN,2018-Q1,724787,67433,1864195,annuale
SDN,2018-Q2,724787,67433,1864195,annuale
SDN,2018-Q3,724787,67433,1864195,annuale
SDN,2018-Q4,724787,67433,1864195,annuale
SDN,2019-Q1,734780,72017,1885782,annuale
SDN,2019-Q2,734780,72017,1885782,annuale
SDN,2019-Q3,734780,72017,1885782,annuale
SDN,2019-Q4,734780,72017,1885782,annuale
SDN,2020-Q1,787823,70049,2552174,annuale
SDN,2020-Q2,787823,70049,2552174,annuale
SDN,2020-Q3,787823,70049,2552174,annuale
SDN,2020-Q4,787823,70049,2552174,annuale
SDN,2021-Q1,825290,75164,3036590,annuale
SDN,2021-Q2,825290,75164,3036590,annuale
SDN,2021-Q3,825290,75164,3036590,annuale
SDN,2021-Q4,825290,75164,3036590,annuale
SDN,2022-Q1,837188,86838,3552717,annuale
SDN,2022-Q2,837188,86838,3552717,annuale
SDN,2022-Q3,837188,86838,3552717,annuale
SDN,2022-Q4,837188,86838,3552717,annuale
SDN,2023-Q1,1496923,253902,9052822,annuale
SDN,2023-Q2,1496923,253902,9052822,annuale
SDN,2023-Q3,1496923,253902,9052822,annuale
SDN,2023-Q4,1496923,253902,9052822,annuale
SDN,2024-Q1,2094373,682535,11559970,annuale
SDN,2024-Q2,2094373,682535,11559970,annuale
SDN,2024-Q3,2094373,682535,11559970,annuale
SDN,2024-Q4,2094373,682535,11559970,annuale
