iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
SSD,2018-Q1,2285301,12701,1878154,annuale
SSD,2018-Q2,2285301,12701,1878154,annuale
SSD,2018-Q3,2285301,12701,1878154,annuale
SSD,2018-Q4,2285301,12701,1878154,annuale
SSD,2019-Q1,2234805,5616,1665815,annuale
SSD,2019-Q2,2234805,5616,1665815,annuale
SSD,2019-Q3,2234805,5616,1665815,annuale
SSD,2019-Q4,2234805,5616,1665815,annuale
SSD,2020-Q1,2188785,4858,1600254,annuale
SSD,2020-Q2,2188785,4858,1600254,annuale
SSD,2020-Q3,2188785,4858,1600254,annuale
SSD,2020-Q4,2188785,4858,1600254,annuale
SSD,2021-Q1,2362759,5037,2017236,annuale
SSD,2021-Q2,2362759,5037,2017236,annuale
SSD,2021-Q3,2362759,5037,2017236,annuale
SSD,2021-Q4,2362759,5037,2017236,annuale
SSD,2022-Q1,2295082,5228,1474679,annuale
SSD,2022-Q2,2295082,5228,1474679,annuale
SSD,2022-Q3,2295082,5228,1474679,annuale
SSD,2022-Q4,2295082,5228,1474679,annuale
SSD,2023-Q1,2292482,24596,1236672,annuale
SSD,2023-Q2,2292482,24596,1236672,annuale
SSD,2023-Q3,2292482,24596,1236672,annuale
SSD,2023-Q4,2292482,24596,1236672,annuale
SSD,2024-Q1,2290622,32841,944631,annuale
SSD,2024-Q2,2290622,32841,944631,annuale
SSD,2024-Q3,2290622,32841,944631,annuale
SSD,2024-Q4,2290622,32841,944631,annuale
