iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
SYR,2018-Q1,6654374,139576,6183920,annuale
SYR,2018-Q2,6654374,139576,6183920,annuale
SYR,2018-Q3,6654374,139576,6183920,annuale
SYR,2018-Q4,6654374,139576,6183920,annuale
SYR,2019-Q1,6615249,118450,6146994,annuale
SYR,2019-Q2,6615249,118450,6146994,annuale
SYR,2019-Q3,6615249,118450,6146994,annuale
SYR,2019-Q4,6615249,118450,6146994,annuale
SYR,2020-Q1,6702910,107085,6701972,annuale
SYR,2020-Q2,6702910,107085,6701972,annuale
SYR,2020-Q3,6702910,107085,6701972,annuale
SYR,2020-Q4,6702910,107085,6701972,annuale
SYR,2021-Q1,6848865,139754,6865308,annuale
SYR,2021-Q2,6848865,139754,6865308,annuale
SYR,2021-Q3,6848865,139754,6865308,annuale
SYR,2021-Q4,6848865,139754,6865308,annuale
SYR,2022-Q1,6559736,156616,6780994,annuale
SYR,2022-Q2,6559736,156616,6780994,annuale
SYR,2022-Q3,6559736,156616,6780994,annuale
SYR,2022-Q4,6559736,156616,6780994,annuale
SYR,2023-Q1,6355788,182954,7248188,annuale
SYR,2023-Q2,6355788,182954,7248188,annuale
SYR,2023-Q3,6355788,182954,7248188,annuale
SYR,2023-Q4,6355788,182954,7248188,annuale
SYR,2024-Q1,5952174,167334,7408909,annuale
SYR,2024-Q2,5952174,167334,7408909,annuale
SYR,2024-Q3,5952174,167334,7408909,annuale
SYR,2024-Q4,5952174,167334,7408909,annuale
