iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
UKR,2018-Q1,93248,31965,1500002,annuale
UKR,2018-Q2,93248,31965,1500002,annuale
UKR,2018-Q3,93248,31965,1500002,annuale
UKR,2018-Q4,93248,31965,1500002,annuale
UKR,2019-Q1,59844,27991,734000,annuale
UKR,2019-Q2,59844,27991,734000,annuale
UKR,2019-Q3,59844,27991,734000,annuale
UKR,2019-Q4,59844,27991,734000,annuale
UKR,2020-Q1,35156,21426,734000,annuale
UKR,2020-Q2,35156,21426,734000,annuale
UKR,2020-Q3,35156,21426,734000,annuale
UKR,2020-Q4,35156,21426,734000,annuale
UKR,2021-Q1,27562,19426,854000,annuale
UKR,2021-Q2,27562,19426,854000,annuale
UKR,2021-Q3,27562,19426,854000,annuale
UKR,2021-Q4,27562,19426,854000,annuale
UKR,2022-Q1,5684177,34637,5914000,annuale
UKR,2022-Q2,5684177,34637,5914000,annuale
UKR,2022-Q3,5684177,34637,5914000,annuale
UKR,2022-Q4,5684177,34637,5914000,annuale
UKR,2023-Q1,5960362,33988,3689000,annuale
UKR,2023-Q2,5960362,33988,3689000,annuale
UKR,2023-Q3,5960362,33988,3689000,annuale
UKR,2023-Q4,5960362,33988,3689000,annuale
UKR,2024-Q1,5120036,44349,3665000,annuale
UKR,2024-Q2,5120036,44349,3665000,annuale
UKR,2024-Q3,5120036,44349,3665000,annuale
UKR,2024-Q4,5120036,44349,3665000,annuale
