iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
USA,2018-Q1,332,2834,0,annuale
USA,2018-Q2,332,2834,0,annuale
USA,2018-Q3,332,2834,0,annuale
USA,2018-Q4,332,2834,0,annuale
USA,2019-Q1,297,2940,0,annuale
USA,2019-Q2,297,2940,0,annuale
USA,2019-Q3,297,2940,0,annuale
USA,2019-Q4,297,2940,0,annuale
USA,2020-Q1,349,2491,0,annuale
USA,2020-Q2,349,2491,0,annuale
USA,2020-Q3,349,2491,0,annuale
USA,2020-Q4,349,2491,0,annuale
USA,2021-Q1,426,1662,0,annuale
USA,2021-Q2,426,1662,0,annuale
USA,2021-Q3,426,1662,0,annuale
USA,2021-Q4,426,1662,0,annuale
USA,2022-Q1,1327,2115,0,annuale
USA,2022-Q2,1327,2115,0,annuale
USA,2022-Q3,1327,2115,0,annuale
USA,2022-Q4,1327,2115,0,annuale
USA,2023-Q1,1229,2051,0,annuale
USA,2023-Q2,1229,2051,0,annuale
USA,2023-Q3,1229,2051,0,annuale
USA,2023-Q4,1229,2051,0,annuale
USA,2024-Q1,4004,2409,0,annuale
USA,2024-Q2,4004,2409,0,annuale
USA,2024-Q3,4004,2409,0,annuale
USA,2024-Q4,4004,2409,0,annuale
