iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
VEN,2018-Q1,21047,464223,0,annuale
VEN,2018-Q2,21047,464223,0,annuale
VEN,2018-Q3,21047,464223,0,annuale
VEN,2018-Q4,21047,464223,0,annuale
VEN,2019-Q1,93239,794491,0,annuale
VEN,2019-Q2,93239,794491,0,annuale
VEN,2019-Q3,93239,794491,0,annuale
VEN,2019-Q4,93239,794491,0,annuale
VEN,2020-Q1,171112,851265,0,annuale
VEN,2020-Q2,171112,851265,0,annuale
VEN,2020-Q3,171112,851265,0,annuale
VEN,2020-Q4,171112,851265,0,annuale
VEN,2021-Q1,199202,971106,0,annuale
VEN,2021-Q2,199202,971106,0,annuale
VEN,2021-Q3,199202,971106,0,annuale
VEN,2021-Q4,199202,971106,0,annuale
VEN,2022-Q1,230393,1137162,0,annuale
VEN,2022-Q2,230393,1137162,0,annuale
VEN,2022-Q3,230393,1137162,0,annuale
VEN,2022-Q4,230393,1137162,0,annuale
VEN,2023-Q1,347695,1200130,0,annuale
VEN,2023-Q2,347695,1200130,0,annuale
VEN,2023-Q3,347695,1200130,0,annuale
VEN,2023-Q4,347695,1200130,0,annuale
VEN,2024-Q1,370169,1360041,0,annuale
VEN,2024-Q2,370169,1360041,0,annuale
VEN,2024-Q3,370169,1360041,0,annuale
VEN,2024-Q4,370169,1360041,0,annuale
