iso3,periodo,refugees,asylum_seekers,idps,risoluzione_dato
YEM,2018-Q1,31145,35876,2144719,annuale
YEM,2018-Q2,31145,35876,2144719,annuale
YEM,2018-Q3,31145,35876,2144719,annuale
YEM,2018-Q4,31145,35876,2144719,annuale
YEM,2019-Q1,36522,34328,3625716,annuale
YEM,2019-Q2,36522,34328,3625716,annuale
YEM,2019-Q3,36522,34328,3625716,annuale
YEM,2019-Q4,36522,34328,3625716,annuale
YEM,2020-Q1,32433,34870,4002012,annuale
YEM,2020-Q2,32433,34870,4002012,annuale
YEM,2020-Q3,32433,34870,4002012,annuale
YEM,2020-Q4,32433,34870,4002012,annuale
YEM,2021-Q1,37615,35462,4288739,annuale
YEM,2021-Q2,37615,35462,4288739,annuale
YEM,2021-Q3,37615,35462,4288739,annuale
YEM,2021-Q4,37615,35462,4288739,annuale
YEM,2022-Q1,40147,33524,4523022,annuale
YEM,2022-Q2,40147,33524,4523022,annuale
YEM,2022-Q3,40147,33524,4523022,annuale
YEM,2022-Q4,40147,33524,4523022,annuale
YEM,2023-Q1,48044,33521,4516341,annuale
YEM,2023-Q2,48044,33521,4516341,annuale
YEM,2023-Q3,48044,33521,4516341,annuale
YEM,2023-Q4,48044,33521,4516341,annuale
YEM,2024-Q1,51384,32810,4795983,annuale
YEM,2024-Q2,51384,32810,4795983,annuale
YEM,2024-Q3,51384,32810,4795983,annuale
YEM,2024-Q4,51384,32810,4795983,annuale
