da,a,tipo,periodo,peso,categoria,titolo,fonte
RUS,UKR,cyber,2024-Q4,,Disruption;Hijacking with Misuse, Russian State-Sponsored Actors Linked to GRU Disrupted Ukrainian State Registries in Cyber-Attack on 19 December 2024,eurepoc
RUS,UKR,cyber,2023-Q4,,Hijacking with Misuse,Russian-Based Threat Actor Storm-1837 and Russian State-Sponsored Hacking Group Secret Blizzard (Also Known as Turla) Compromised Military-Related Devices in Ukraine in January 2024,eurepoc
RUS,UKR,cyber,2024-Q1,,Hijacking without Misuse,Cybercriminal group Storm-1919 and Russian state-sponsored actor Secret Blizzard (also known as Turla) deployed Tavdig and Kazuar backdoor on Ukrainian military devices beginning in March 2024,eurepoc
RUS,UKR,cyber,2024-Q3,,Data theft;Hijacking with Misuse,"Russian State-Sponsored Hacking Group TAG-110 Hacked Human Rights Groups, Private Security Companies, And Educational Institutions In Central Asia, East Asia, And Europe Between July 2024 And November 2024",eurepoc
RUS,UKR,cyber,2024-Q3,,Hijacking without Misuse,Russia-linked UAC-0063 infiltrated a Ukrainian research institutions in July 2024,eurepoc
RUS,UKR,cyber,2024-Q1,,Hijacking without Misuse,CERT-UA warned of espionage campaign dubbed SickSync using the SPECTR malware by UAC-0020 against the Ukrainian defence forces in June 2024,eurepoc
RUS,UKR,cyber,2024-Q2,,Hijacking with Misuse,"Russian hackers allegedly disrupted the two Ukrainian channels, StarLight Media and Inter, and thus broadcasted the Victory Day celebrations in Russia on Ukrainian television on 9 May 2024",eurepoc
RUS,UKR,cyber,2024-Q1,,Hijacking with Misuse,The Russian state-sponsored hacking group Sandworm attacked around 20 critical infrastructure facilities in Ukraine in March 2024 ,eurepoc
RUS,UKR,cyber,2020-Q2,,Data theft;Hijacking with Misuse,Russian state-sponsored hacking group APT28 exploits the Windows Print Spooler flaw CVE-2022-38028 with the previously unknown tool GooseEgg since at least June 2020,eurepoc
RUS,UKR,cyber,2024-Q1,,Disruption;Hijacking with Misuse,Sub-cluster of Russian APT Sandworm allegedly deployed AcidPour wiper against Ukrainian telecommunication providers since 13 March 2024,eurepoc
RUS,UKR,cyber,2024-Q1,,Hijacking with Misuse;Hijacking with Misuse,Suspected Pro-Russian hackers disrupted and defaced websites and X-accounts of several Ukrainian news outlets spreading fake news during 17-18 February 2024,eurepoc
RUS,UKR,cyber,2023-Q4,,Data theft;Hijacking with Misuse,Russian-aligned threat actor TAG-70 targeted various governmental entities in Europe and Central Asia using Roundcube vulnerability in October 2023,eurepoc
RUS,UKR,cyber,2024-Q1,,Disruption,Russian hackers disrupted access to website of Ukrainian Ministry of Education and Science on 7 February 2024,eurepoc
RUS,UKR,cyber,2023-Q1,,Hijacking with Misuse,Russian intelligence service suspected to have gained access to surveillance cameras in Kyiv ,eurepoc
RUS,UKR,cyber,2023-Q4,,Data theft;Hijacking with Misuse,APT28 targeted Ukrainian organisations with malware during 15-25 December 2023,eurepoc
RUS,UKR,cyber,2023-Q3,,Hijacking without Misuse,Russian ITG05 ( aka APT28 / Fancy Bear) compromised targets from 13 countries with Headlace backdoor between August and December 2023,eurepoc
RUS,UKR,cyber,2023-Q2,,Data theft;Disruption;Hijacking with Misuse,Presumed Russian Sandworm Hackers infiltrated Networks Of Ukrainian Telecommunications Provider Kyivstar As Early As May 2023 And Caused Massive Disruption On 12 December 2023 ,eurepoc
RUS,UKR,cyber,2023-Q3,,Disruption;Hijacking with Misuse,Russian state-sponsored hacking group Seashell Blizzard (aka Sandworm) gained access to and disrupted networks of organisations linked to Ukrainian agricultural sector beginning on 25 July 2023,eurepoc
RUS,UKR,cyber,2023-Q2,,Data theft;Hijacking with Misuse,Russian state-sponsored hacking group Aqua Blizzard aka Gamaredon exfiltrated data of organisations linked to Ukrainian agricultural industry between June and July 2023,eurepoc
RUS,UKR,cyber,2023-Q3,,Hijacking without Misuse,Russian APT-Gamaredon infected unspecified targets in Ukraine and other countries worldwide since autumn 2023 with USB propagating worm LitterDrifter,eurepoc
RUS,UKR,cyber,2022-Q2,,Disruption;Hijacking with Misuse,Russia-linked Sandworm caused power outage and deployed wiper coinciding with missile strikes against Ukrainian critical infrastructure in October 2022,eurepoc
RUS,UKR,cyber,2023-Q2,,Disruption;Hijacking with Misuse,Russian state-sponsored threat actor 'Sandworm' disrupted several Ukrainian telcommunication providers beginning May 2023,eurepoc
RUS,UKR,cyber,2023-Q1,,Hijacking without Misuse,Russian state-sponsored hacking group APT28 gained access to Roundcube servers of various Ukrainian targets using three vulnerabilities beginning in March 2023,eurepoc
RUS,UKR,cyber,2023-Q1,,Data theft;Hijacking with Misuse,Russia-linked state-sponsored hacking group Shuckworm gained access to a variety of Ukrainian organisations beginning in February 2023,eurepoc
RUS,UKR,cyber,2022-Q1,,Data theft & Doxing;Hijacking with Misuse,"Apparent Russian hacker group gained access to network of Ukrainian video game developer GSC Game World, stealing and leaking a version of the first-person shooter game S.T.A.L.K.E.R. 2 in 2022",eurepoc
RUS,UKR,cyber,2023-Q2,,Data theft & Doxing;Hijacking with Misuse,Russian hacktivists accessed and stole data from four Ukrainian insurance companies in April 2023,eurepoc
RUS,UKR,cyber,2023-Q1,,Disruption;Hijacking with Misuse,Russian state-sponsored hacker group Sandworm used WinRAR to wipe the computers of an unspecified Ukrainian state organization,eurepoc
RUS,UKR,cyber,2021-Q1,,Hijacking without Misuse,"Russian state-sponsored hacking group APT28 gained access into unpatched Cisco routers from European, US and Ukrainian targets in 2021",eurepoc
RUS,UKR,cyber,2022-Q2,,Disruption,Pro-Russian hacktivist group XakNet Team takes down Ukrainian artillery fire control system Kropiva with DDoS attack,eurepoc
RUS,UKR,cyber,2021-Q4,,Hijacking with Misuse,Russian hacking group UAC-0056 gained access to and modified the content of a number of Ukrainian federal and state government websites beginning in December 2021,eurepoc
RUS,UKR,cyber,2022-Q3,,Disruption,"Pro-Russian hacktivists hacked two radio stations of Ukraine’s largest broadcasters, TAVR Media, on 21 July 2022, spreading false accounts about President Zelensky's health",eurepoc
RUS,UKR,cyber,2022-Q4,,Disruption;Hijacking with Misuse,Russian state-sponsored hacking group Sandworm used NikoWiper against an energy-sector company in Ukraine in October 2022,eurepoc
RUS,UKR,cyber,2023-Q1,,Disruption;Hijacking with Misuse,Russian state-sponsored hacking group Sandworm deployed new wiper SwiftSlicer against an unspecified target in Ukraine,eurepoc
RUS,UKR,cyber,2023-Q1,,Disruption;Hijacking with Misuse,Russian state-sponsored hacker group Sandworm sought to sabotage the Ukrainian National News Agency Ukrinform using CaddyWiper on 17 January 2023,eurepoc
RUS,UKR,cyber,2022-Q3,,Hijacking without Misuse,Unspecified Russian hackers gained limited access to Ukraine's Delta military software in August 2022,eurepoc
RUS,UKR,cyber,2021-Q4,,Data theft;Hijacking with Misuse,"UNC4210, a suspected cluster of Russian APT Turla, targeted Ukrainian organizations with ANDROMEDA malware starting in December 2021",eurepoc
RUS,UKR,cyber,2022-Q2,,Data theft & Doxing;Disruption,City council of Ukrainian city Lviv is attacked in May 2022 and data was stolen and published,eurepoc
RUS,UKR,cyber,2021-Q4,,Data theft;Hijacking with Misuse,Russian state-sponsored hacking group ACTINIUM / Gamaredon targeted various organizations in Ukraine beginning in October 2021,eurepoc
