event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2019-10-04,2019,Violence against civilians,Abduction/forced disappearance,Police Forces of China (2012-),Civilians (China),China,Beijing,"On 4 October 2019, a female petitioner from Xi'an, Shaanxi who went to appeal in Beijing was arrested in Haizijiao Village in Daxing district (Beijing) by governmental personnel from Shaanxi and hired thugs. She was then brought back to Shaanxi by car. The next day, she was detained in a hotel next to the Bianfang Elementary School in Weicheng District, Xianyang City until 11 October 2019. She was not allowed to have contact with anyone during her detention.",0,2019-Q4
2019-04-30,2019,Violence against civilians,Attack,Police Forces of China (2012-),Civilians (China),China,Henan,"On 30 April 2019, a man who had a disability in one of his legs died after being punched by a city administrator in Shangjie District, Zhengzhou City. The man resisted when the city administrators tried to stop him from setting up his fortune telling stall, when he fell to the ground when one of the administrators punched him.",1,2019-Q2
2019-06-15,2019,Violence against civilians,Attack,Police Forces of China (2012-),Civilians (China),China,Xinjiang,"In June 2019, two missionaries from Shandong Province were arrested in northern Xinjiang (coded as Urumqi), based on a tip-off to the police from a resident. When they were refused to sign a statement proclaiming that they would not engage in evangelism in the future, one of the missionaries were brutally beaten until he lost consciousness. They were ordered to return to Shandong the following day.",0,2019-Q2
2019-08-23,2019,Strategic developments,Looting/property destruction,Police Forces of China (2012-),Civilians (China),China,Hebei,"On 23 August 2019, a Taoist temple in Yongnian District (Handan City, Hebei Province) was demolished by the local government. More than 400 people government officials blocked the road to the temple on the day, and forcibly removed believers from the premises.",0,2019-Q3
2019-09-15,2019,Strategic developments,Looting/property destruction,Police Forces of China (2012-),Civilians (China),China,Hubei,"In September 2019, an ancient Buddhist temple in Jingzhou City, Hubei Province was demolished by the local public security and urban management departments, on the grounds that its registration certificate was false.",0,2019-Q3
2019-10-01,2019,Strategic developments,Change to group/activity,Police Forces of China (2012-),,China,Heilongjiang,"Between late September and early October 2019, two meeting places of Guangming House Church in Jixi City, Heilongjiang Province were seized, on the grounds that the church did not have a registration certificate.",0,2019-Q4
2019-10-15,2019,Strategic developments,Looting/property destruction,Police Forces of China (2012-),Civilians (China),China,Shandong,"In October 2019, a three-faced Bodhisattva statue outside a Buddhist temple in Tianheng town, Jimo District (Qingdao City, Shandong Province) was demolished by the local government.",0,2019-Q4
2019-10-19,2019,Violence against civilians,Attack,Police Forces of China (2012-),Civilians (China),China,Sichuan,"On 19 October 2019, a Seventh-day Adventist house church in Neijiang City, Sichuan Province was raided by more than 200 people (including government officials and police officers). They ordered to have the electricity cut off, and took some valuables from the church. Two employees of the church were beaten up by four police officers. The two employees, the pastor and a preacher were taken to a detention house for interrogation.",0,2019-Q4
2019-10-23,2019,Strategic developments,Looting/property destruction,Police Forces of China (2012-),Civilians (China),China,Sichuan,"Around 23 October 2019 (in the week after 19 October), a Seventh-day Adventist house church in Neijiang City, Sichuan Province was raided by more than 100 officials and police officers. They confiscated tables and chairs, audio equipment, and other properties of the church. They also threw copies of the Bible into a trash can outside the church. They subsequently welded the entrance to the church. Members of the church also recevied calls from government officials, threatening to withhold the salaries of their children and grandchildren if they did not renounce their faith.",0,2019-Q4
2019-10-31,2019,Strategic developments,Looting/property destruction,Police Forces of China (2012-),Civilians (China),China,Hebei,"On 31 October 2019, a Catholic church was demolished on orders from government officials in Guantao County (Handan City, Hebei Province). Two Catholics protested against the demolition, but were forcibly dragged out of the church.",0,2019-Q4
2019-11-02,2019,Strategic developments,Looting/property destruction,Police Forces of China (2012-),Civilians (China),China,Shandong,"On 2 November 2019, officials from the local government in Rencheng District, Jining City hired a construction team to remove religious signs and symbols from a women's mosque. The dome was also demolished, and the Chinese national flag was placed at the entrance.",0,2019-Q4
2019-11-17,2019,Strategic developments,Looting/property destruction,Police Forces of China (2012-),Civilians (China),China,Hebei,"On 17 November 2019, the Zunhua Muncipal Government forcibly demolished nine stupas in a Tibetan Buddhist temple in Zunhua County (Tangshan City, Hebei Province). This followed the previous incident on 14 November 2019 when the abbot of the temple was expelled, and parts of the temple were shut down.",0,2019-Q4
2019-12-09,2019,Violence against civilians,Attack,Police Forces of China (2012-),Civilians (China),China,Inner Mongolia,"On 9 December 2019, a Tibetan Buddhist temple was demolished by local authorities in Horqin (Tongliao City, Inner Mongolia). The police used pepper spray to disperse the crowd when hundreds of local herders tried to stop the demolition.",0,2019-Q4
2019-12-26,2019,Violence against civilians,Attack,Police Forces of China (2012-),Civilians (China),China,Sichuan,"On 26 December 2019, a Christian Brother was at the Chengdu Intermediate People's Court in Wuhou District (Chengdu, Sichuan) for the trial of a reverend, when he was pushed down and attacked by a few plainclothes police. He was later taken away to the police station for questioning, on who is the leader of his church, and the reason for his appearance at the trial.",0,2019-Q4
2019-08-12,2019,Violence against civilians,Abduction/forced disappearance,Police Forces of China (2012-),Civilians (China),China,Guangdong,"On 12 August 2019, an activist from Heyuan, Guangdong was taken away by the police from his home. Police did not specify the reason for the arrest when they were asked. His personal belongings such as phone, passport, bank cards and ID card were confiscated.",0,2019-Q3
2020-02-21,2020,Protests,Peaceful protest,Protesters (China),,China,Jiangxi,"On 21 February 2020, an unreported number of people protested in front of a bank in Yichun City, Jiangxi Province, as they were unable to access their money due to funds being frozen as a result of the collapse of the bank.",0,2020-Q1
2020-02-26,2020,Violence against civilians,Abduction/forced disappearance,Police Forces of China (2012-),Civilians (China),China,Hubei,"On 26 February 2020, a citizen journalist was suspected to be taken away and held incommunicado by personnel from the Public Security Bureau in Wuhan City, Hubei Province. He had been in Wuhan reporting from the front line of the coronavirus outbreak, and was likely to be have been taken away by the authorities. He was livestreaming from his place of residence when there was a knock on his door, and his camera was abruptly cut off. This was part of an ongoing crackdown on people who had been reporting or sharing information about the coronavirus outbreak.",0,2020-Q1
2019-01-14,2019,Strategic developments,Looting/property destruction,Police Forces of China (2012-) People's Armed Police,Civilians (China),China,Fujian,"On 14 January 2019, a church-run kindergarten in Xinglin District (Xiamen City, Fujian Province) was demolished by a large number of heavily armed police officers in anti-riot gear and personnel from the district's urban management bureau. It was reported that parents and teachers were blocked in their own homes, with each household guarded by 5 to 6 personnel to prevent them from going out during the demolition.",0,2019-Q1
2019-01-17,2019,Strategic developments,Looting/property destruction,Police Forces of China (2012-),Civilians (China),China,Henan,"On 17 January 2019, five houses in Dongyangcun (Luoyang City, Henan Province) were forcibly demolished by a forced demolition team made up of more than 100 personnel (including representatives from the Urban and Rural Planning Bureau, public security, subdistrict office). The people whose houses were demolished believed that their properties were legal, and that the administrative agencies had no legal right to forcibly demolish them.",0,2019-Q1
2019-03-11,2019,Strategic developments,Looting/property destruction,Police Forces of China (2012-),Civilians (China),China,Henan,"On 11 March 2019, more than a dozen officials stormed into the home of a believer of a Three-Self Church in Zhoukou City, Henan Province. They took away religious paintings and books from his home and burned them outside. The officials also ordered the family to get rid of the remaining religious items at home.",0,2019-Q1
