event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2020-10-12,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 12 October 2020, around 100 Estonian Armenians demonstrated in Tallinn against the offensive of the Azerbaijani army in Nagorno-Karabakh.",0,2020-Q4
2020-02-06,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 6 February 2020, approximately five protesters participated in a protest organized by Yes to Freedom, No to Lies in Tallinn against far-right sentiment in Estonia.",0,2020-Q1
2020-10-28,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 28 October 2020, an unknown number of protesters demonstrated in central Tallinn against a decision by Poland's Constitutional Court which further restricted access to abortion in Poland.",0,2020-Q4
2020-10-29,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 29 October 2020, an unknown number of protesters organized by Yes to Freedom, No to Lies demonstrated in front of government buildings in Tallinn, to oppose the presence of ministers from the far-right EKRE party in Estonia's government.",0,2020-Q4
2020-11-27,2020,Protests,Peaceful protest,Protesters (Estonia),Protesters (Estonia),Estonia,Harju,"On 27 November 2020, approximately 300 demonstrators in Tallinn protested against the compulsory wearing of face masks in Estonia, in a rally organized by an independent politician recently expelled from the Estonian Reform Party for organizing this event. Protesters were met by 5 Reform Party politicians, who demonstrated in defense of face masks.",0,2020-Q4
2020-02-20,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 20 February 2020, approximately seven protesters organized by Yes to Freedom, No to Lies protested in Tallinn against far-right sentiments in Estonia and the inclusion of the far-right in government.",0,2020-Q1
2020-02-27,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 27 February 2020, approximately six protesters organized by Yes to Freedom, No to Lies protested in Tallinn against far-right sentiments in Estonia and the inclusion of the far-right in government.",0,2020-Q1
2020-03-05,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 5 March 2020, approximately four protesters organized by Yes to Freedom, No to Lies demonstrated in Tallinn against far-right sentiments in Estonia and the inclusion of the far-right in government.",0,2020-Q1
2020-03-12,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 12 March 2020, approximately six protesters organized by Yes to Freedom, No to Lies demonstrated in Tallinn against far-right sentiments in Estonia and the inclusion of the far-right in government.",0,2020-Q1
2020-04-24,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 24 April 2020, approximately four protesters demonstrated in Tallinn to oppose any government action that undermines political rights, citing recent developments in Hungary in response to coronavirus as their concern. The protest was organized by Yes to Freedom, No to Lies.",0,2020-Q2
2020-06-10,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 10 June 2020, approximately 100 protesters, including those organized by Yes to Freedom, No to Lies, demonstrated in Tallinn in support of the Black Lives Matter movement.",0,2020-Q2
2020-06-29,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 29 June 2020, dozens of Belarusians and Estonians, including some linked with Yes to Freedom, No to Lies, protested outside the Belarusian embassy in Tallinn in support of protesters detained in Belarus.",0,2020-Q2
2020-08-16,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 16 August 2020, around 100 people, including Belarusians in Estonia, held a protest in Tallinn, in solidarity with the ongoing protest movement against the results of the Belarusian presidential election.",0,2020-Q3
2020-01-23,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 23 January 2020, approximately seven protesters organized by Yes to Freedom, No to Lies, demonstrated in Tallinn against far-right sentiments in Estonia.",0,2020-Q1
2020-08-23,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 23 August 2020, several hundred people formed a 'human chain' in Tallinn, in solidarity with protesters in Belarus demonstrating against the results of the presidential election.",0,2020-Q3
2020-09-11,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 11 September 2020, around 100 people gathered outside the town hall in Tallinn to protest against allegedly too weak efforts by the city authorities to build safe cycle paths in Tallinn. The rally was attended by politicians from Estonia's Social Democratic Party.",0,2020-Q3
2020-09-18,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 18 September 2020, an unknown number of protesters gathered in Tallinn to support the development of nuclear energy in Estonia.",0,2020-Q3
2020-09-24,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 24 September 2020, around 10 people, including entrepreneurs and investors, protested outside the headquarters of Swedbank's Estonian branch in Tallinn. Protesters demanded that Swedbank 'explain or apologize' for losses caused by investments in 'suspicious' Romanian land transactions on behalf of clients. Participants also alleged that Swedbank had unfairly closed a certain number of accounts belonging to small Estonian businesses, as part of an investigation on international money laundering in the bank's Estonian branch.",0,2020-Q3
2020-08-13,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 13 August 2020, an unknown number of people protested in Tallinn 'in solidarity with the people of Belarus', demanding the resignation of president A. Lukashenka and protesting against police brutality at opposition rallies in Belarus.",0,2020-Q3
2020-06-27,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 27 June 2020, approximately 30 LGBTQ protesters demonstrated in Tallinn in support of LGBTQ rights.",0,2020-Q2
2020-08-13,2020,Protests,Peaceful protest,Protesters (Estonia),,Estonia,Harju,"On 13 August 2020, about 50 people protested in Tallinn, against the discrimination of LGBT people in Poland.",0,2020-Q3
