event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2021-01-05,2021,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Oromia,"On 5 January 2021, residents of Bila, Boji Durmaji staged a demonstration against OLF/Shane militants.",0,2021-Q1
2021-01-07,2021,Protests,Peaceful protest,Protesters (Ethiopia),,Ethiopia,Oromia,"On 7 January 2021, hundreds residents held a protest denouncing violent actions of OLF/Shane in the West Wollegga towns of Sibusa, Baro teta, Kananisa, and Burkat alo woredas (locations could not be found, protests coded up to the capital Dembi Dolo, Oromia).",0,2021-Q1
2021-01-05,2021,Violence against civilians,Attack,Military Forces of Ethiopia (2018-),Civilians (Ethiopia),Ethiopia,Oromia,"On 5 January 2021, a young man with suspected ties to the OLF/Shane group was shot and killed after being taken from his cell by security forces in Boji Dirmaji, West Wollega (Oromia).",1,2021-Q1
2021-01-01,2021,Violence against civilians,Attack,Somali Ethnic Militia (Ethiopia),Civilians (Ethiopia),Ethiopia,Oromia,"On 1 January 2021, 4 people were killed and 5 others wounded when Somali militia members attacked Mieso (Oromia).",4,2021-Q1
2021-01-01,2021,Violence against civilians,Attack,Military Forces of Ethiopia (2018-),Civilians (Ethiopia),Ethiopia,Oromia,"On 1 January 2021, 3 farmers were shot and killed by security forces in Najo, West Wollegga. No further information reported.",3,2021-Q1
2021-01-13,2021,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),Civilians (Ethiopia),Ethiopia,Benshangul/Gumuz,"On 13 January 2021, 27 ethnic Amhara civilians were killed by attacking ethnic militias in Cheliya kebelle in Metekel zone (Benishangul Gumuz).",27,2021-Q1
2021-01-06,2021,Battles,Armed clash,Unidentified Ethnic Militia (Ethiopia),Military Forces of Ethiopia (2018-),Ethiopia,Benshangul/Gumuz,"On 6 January 2021, 16 people, including civilians and members of the national defense forces, were killed in Wembera woreda, Begondi kebelle (Benishangul/Gumz) during an attack by ethnic militias.",16,2021-Q1
2021-01-12,2021,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),Civilians (Ethiopia),Ethiopia,Benshangul/Gumuz,"On 12 January 2021, unidentified armed attackers killed about 80 ethnic Amhara civilians in Dilletti village, near Dibate Kebele of Metekel zone (Benishangul Gumuz).",80,2021-Q1
2021-01-14,2021,Violence against civilians,Attack,Unidentified Armed Group (Ethiopia),Civilians (Ethiopia),Ethiopia,Amhara,"On 14 January 2021, unidentified armed men shot and killed two Oromo civilians during seperate attacks in Jille Dhumuga and Dawe Woredas in North Wollo (Kemise, Oromo zone of Amhara). Clashes have been occurring between Afar and Oromo militias in the area, although it is unclear if this incident is part of the conflict.",2,2021-Q1
2021-01-11,2021,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),Civilians (Ethiopia),Ethiopia,Benshangul/Gumuz,"On 11 January 2021, 11 Amhara civilians were killed in an attacked by ethnic militias in Guba, Metekel (Benishangul, Gumz).",11,2021-Q1
2021-01-27,2021,Battles,Armed clash,Police Forces of Ethiopia (2018-),Kawariya Islamic Movement,Ethiopia,Oromia,"Around 27 January 2021 (as reported), security forces clashed with armed members of the Kawariya Islamic movement in Dola Mena Woreda, (Bale zone, Oromia). One person was killed. The Kawariya movement is accused of having links to the Islamic State.",1,2021-Q1
