event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-04-16,2018,Strategic developments,Disrupted weapons use,Police Forces of Iran (1989-),,Iran,Sistan and Baluchestan,"Weapons Seizure: The Iranian Intelligence Ministry reported on Apr 16 that security forces (assumed police) had seized 80kg of explosives, 28 pistols, 2100 bullets, 35 hand grenades 580kg of narcotics, and other weapons in Sistan and Baluchestan Province.",0,2018-Q2
2018-01-27,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Hamadan,Kian Cord workers' protests in Malayer entered its third week. These workers were protesting their unpaid salaries.,0,2018-Q1
2018-01-05,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Mazandaran,Demonstrators marched in Sari to denounce recent riots,0,2018-Q1
2018-01-05,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Kerman,Demonstrators marched in Kerman to denounce recent riots,0,2018-Q1
2018-05-16,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Khuzestan,"Municipality workers went on strike and staged a protest in front of the city government offices in Abadan, Khuzestan Province on May 16 against 5 months of unpaid wages.",0,2018-Q2
2018-05-23,2018,Violence against civilians,Attack,Unidentified Armed Group (Iran),Civilians (Iran),Iran,Sistan and Baluchestan,"An unknown armed group broke into a police officer's house, killed 2 people, and injured 1 other in Sistan and Balochestan Province, as reported on May 23.",2,2018-Q2
2018-05-26,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Khuzestan,Seasonal employees gathered in protest in front of the agroindustrial complex at Haft Tappeh on May 26 against their non-permanent status.,0,2018-Q2
2018-05-26,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Golestan,"Some garbage pickup workers staged a protest at a city council meeting on May 26 in Gorgan, Golestan Province against the unsuitable conditions of their work.",0,2018-Q2
2018-05-29,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Yazd,"Workers of a tile and ceramic factory staged a protest at their workplace in Meybod, Yazd Province on May 29 against unpaid wages, a lack of job security, and the laying off of some of their colleagues.",0,2018-Q2
2018-05-31,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,East Azerbaijan,"Workers of a combine harvester factory staged a protest on May 31 in Tabriz, E Azerbaijan Province against the mismanagement of the company that will lead to closure.",0,2018-Q2
2018-06-09,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Khuzestan,"on 9/6/2018, a number of retired workers of Haft Tappeh Sugarcane Agro-Industry Co., located 15 km outside the town of Shush, protested against unpaid pension benefits.",0,2018-Q2
2018-06-19,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Kerman,"As reported on 23/6/2018, in the past week, miners at Darehzar copper mine in Pariz protested for three consequtive days against low salaries and job insecurity.",0,2018-Q2
2018-06-20,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Kerman,"As reported on 23/6/2018, in the past week, miners at Darehzar copper mine in Pariz protested for three consequtive days against low salaries and job insecurity.",0,2018-Q2
2018-06-21,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Kerman,"As reported on 23/6/2018, in the past week, miners at Darehzar copper mine in Pariz protested for three consequtive days against low salaries and job insecurity.",0,2018-Q2
2018-06-28,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Hamadan,"As reported on 28/6/2018, workers of Kiyan Kord Company rallied outside the headquarters of the district governor in Malayer, demanding to receive unemployment benefits.",0,2018-Q2
2018-01-01,2018,Battles,Armed clash,Unidentified Armed Group (Iran),Police Forces of Iran (1989-),Iran,Isfahan,A policeman was shot dead in Iran on Monday in the central town of Najafabad on a fifth day of riots in Iran,1,2018-Q1
2018-01-03,2018,Battles,Armed clash,Military Forces of Iran (1989-),Unidentified Armed Group (Iran),Iran,West Azerbaijan,"Three members of the Iranian security forces were killed in clashes along the border with Iraqi Kurdistan. The attack happened in the border area of Piranshahr, a region that sees sporadic clashes with Kurdish separatists based in Iraq.",3,2018-Q1
2018-01-04,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Ardabil,"Crowds marched in support of the government across 10 cities early Thursday, including Isfahan, Ardebil and Mashhad, where the protests first erupted a week ago.",0,2018-Q1
2018-01-04,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Fars,Iranians rallied to voice support for the Islamic Republic and denounce riots.,0,2018-Q1
2018-01-04,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Gilan,Iranians rallied to voice support for the Islamic Republic and denounce riots.,0,2018-Q1
2018-01-04,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Hamadan,Iranians rallied to voice support for the Islamic Republic and denounce riots.,0,2018-Q1
2018-01-04,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Isfahan,"Crowds marched in support of the government across 10 cities early Thursday, including Isfahan, Ardebil and Mashhad, where the protests first erupted a week ago.",0,2018-Q1
2018-01-04,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Kohgiluyeh and Boyer-Ahmad,Iranians rallied to voice support for the Islamic Republic and denounce riots.,0,2018-Q1
2018-01-04,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Mazandaran,Iranians rallied to voice support for the Islamic Republic and denounce riots.,0,2018-Q1
2018-01-04,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Mazandaran,Iranians rallied to voice support for the Islamic Republic and denounce riots.,0,2018-Q1
2018-01-04,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Razavi Khorasan,"Crowds marched in support of the government across 10 cities early Thursday, including Isfahan, Ardebil and Mashhad, where the protests first erupted a week ago.",0,2018-Q1
2018-01-04,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,South Khorasan,Iranians rallied to voice support for the Islamic Republic and denounce riots.,0,2018-Q1
2019-01-18,2019,Strategic developments,Other,Unidentified Military Forces,Civilians (Iran),Iran,Kermanshah,"Explosive remnants of war: On 18/01/2019, a civilian was seriously injured by a landmine, laid during the Iran-Iraq war, in the border area of Nowsud county.",0,2019-Q1
2018-01-07,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Chaharmahal and Bakhtiari,"The Iranian people held rallies in Rasht, Yazd, Shahr-e Kord and Qazvin on Sunday to support the Islamic Republic of Iran",0,2018-Q1
2018-01-07,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Gilan,"The Iranian people held rallies in Rasht, Yazd, Shahr-e Kord and Qazvin on Sunday to support the Islamic Republic of Iran",0,2018-Q1
2018-01-07,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Qazvin,"The Iranian people held rallies in Rasht, Yazd, Shahr-e Kord and Qazvin on Sunday to support the Islamic Republic of Iran",0,2018-Q1
2018-01-07,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Tehran,A group of Persian Gulf transportation company workers gathered in this company in Eslamshahr to protest their unpaid wages.,0,2018-Q1
2018-01-07,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Yazd,"The Iranian people held rallies in Rasht, Yazd, Shahr-e Kord and Qazvin on Sunday to support the Islamic Republic of Iran",0,2018-Q1
2018-02-04,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Kurdistan,"Around 60 workers of Karan Darya company, responsible for the water transportation project for Siazakh dam, gathered in front of the provincial government in Sanandaj to protest their unpaid salaries",0,2018-Q1
2018-02-05,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Semnan,Around 40 employees of Semnan's Rangin Nakh gathered in front of the provincial government to protest their unpaid salaries,0,2018-Q1
2018-04-12,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Sistan and Baluchestan,"A group of seminary students staged a protest in Dalgan County, Sistan and Baluchestan Province on Apr 12 to protest Saudi Arabia's recognition of the State of Israel.",0,2018-Q2
2018-04-15,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Qazvin,"As part of an ongoing protest, teachers gathered in protest in Qazvin around Apr 15. They were protesting delayed payments, a lack of insurance, and a lack of job security.",0,2018-Q2
2018-04-21,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Semnan,Around 25 retired workers of a yarn company in Semnan Province staged a protest against the provincial government on Apr 19 to demand the release of delayed wages.,0,2018-Q2
2018-06-07,2018,Battles,Armed clash,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,Unidentified Armed Group (Iran),Iran,West Azerbaijan,7/6/2018: The IRGC reported that in two clashes between Iranian military forces and unidentified armed groups in Oshnaviyeh and Sardasht regions in the past 24 hours a total of 6 militants were killed and a further 3 injured. Fatalities split across two events.,3,2018-Q2
2018-06-07,2018,Battles,Armed clash,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,Unidentified Armed Group (Iran),Iran,Kurdistan,7/6/2018: The IRGC reported that in two clashes between Iranian military forces and unidentified armed groups in Oshnaviyeh and Sardasht regions in the past 24 hours a total of 6 militants were killed and a further 3 injured. Fatalities split across two events.,3,2018-Q2
2018-01-01,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,East Azerbaijan,Workers of Tabriz Industrial Machines company have been protesting company's closure since December 14th. Day 19,0,2018-Q1
2018-01-02,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,East Azerbaijan,Workers of Tabriz Industrial Machines company have been protesting company's closure since December 14th. Day 20,0,2018-Q1
2018-01-03,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,East Azerbaijan,Workers of Tabriz Industrial Machines company have been protesting company's closure since December 14th. Day 21,0,2018-Q1
2018-01-04,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,East Azerbaijan,Workers of Tabriz Industrial Machines company have been protesting company's closure since December 14th. Day 22,0,2018-Q1
2018-01-05,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,East Azerbaijan,Workers of Tabriz Industrial Machines company have been protesting company's closure since December 14th. Day 23,0,2018-Q1
