event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-07-14,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,Israel,HaDarom,A Hamas rockets hit near a playground and near a synagogue in Sderot on July 14. No injuries were reported.,0,2018-Q3
2018-06-12,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Tel Aviv,Protests against the demolition of Netiv Ha'avot took place across Israel including in Tel Aviv on June 12.,0,2018-Q2
2018-05-25,2018,Riots,Violent demonstration,Rioters (Israel),,Israel,Haifa,Environmental activists against offshore drilling threw 3 active smoke grenades into garbage bins near Netanyahu's Caesarea home during a demonstration on May 25.,0,2018-Q2
2018-03-23,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Jerusalem,"Pro-Israel groups, Im Tirtzu and Israel Is Forever, demonstrated outside of the French consulate in Jerusalem, demanding France stop funding far-left organizations in Israel. The demonstration was held in response to the indictment of two French Consulate workers who were charged with smuggling weapons from the Gaza Strip to the West Bank.",0,2018-Q1
2018-03-06,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Jerusalem,Haredi protesters Monday night disrupted a graduation ceremony for Haredi college students at the Strauss Campus in Jerusalem.,0,2018-Q1
2018-02-17,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),Civilians (Israel),Israel,HaDarom,There were several light injuries after the roof of a family home in the community of Or HaNer was hit by the rocket which failed to explode following the impact.,0,2018-Q1
2018-01-20,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,HaMerkaz,Lefitst protesters on Saturday night disturbed prayers at the Petah Tikva synagogue where Attorney General Avichai Mandelblit was praying.,0,2018-Q1
2018-01-03,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,Two rockets were shot fromGaza Wednesday within two hours of each other.Both rockets landed in open areas in the Eshkol region nearGaza. Nobody was harmed in theattacksand no damage has been reported.,0,2018-Q1
2019-04-04,2019,Protests,Peaceful protest,Protesters (Israel),,Israel,Tel Aviv,"As reported on April 4 2019, Israeli citizens demonstrated outside the Tel Aviv home of MK Yair Lapid against the US plan which will be unveiled after Israeli elections.",0,2019-Q2
2019-04-04,2019,Protests,Peaceful protest,Protesters (Israel),,Israel,HaMerkaz,"As reported on April 4 2019, Israeli citizens demonstrated outside the home of Education Minister Naftali Bennett in Ra'anana against the US plan which will be unveiled after Israeli elections.",0,2019-Q2
2019-06-13,2019,Strategic developments,Disrupted weapons use,Military Forces of Israel (2009-2021),Unidentified Armed Group (Palestine),Israel,HaDarom,"Interception: On June 13 2019, a rocket was fired from Gaza into Israel after midnight on Wednesday. The rocket was intercepted by the Iron dome and no damage or injuries were caused. Sirens sounded near Nirim in the Eshkol Regional Council.",0,2019-Q2
2019-03-19,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"As reported on March 19 2019, a number of incendiary balloons were launched from Gaza into Southern Israel. No injuries or damage was reported.",0,2019-Q1
2018-01-06,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Haifa,A few hundred protesters attended anti-corruptionprotestsin the northern cities of Haifa and Afula.,0,2018-Q1
2018-01-06,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,HaZafon,A few hundred protesters attended anti-corruptionprotestsin the northern cities of Haifa and Afula.,0,2018-Q1
2018-01-27,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Tel Aviv,"In protest move against planned deportation of African asylum seekers, mutilated toys doused in red paint were placed outside Population, Immigration, and Border Authority branch.",0,2018-Q1
2018-02-08,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Tel Aviv,"Holocaust survivors protest at the Polish embassy in Tel Aviv against Poland's new Holocaust law on February 8, 2018.",0,2018-Q1
2018-02-22,2018,Protests,Peaceful protest,Protesters (International),,Israel,HaDarom,"Hundreds of African migrants protested Thursday outside a prison where at least nine others have been incarcerated under Israel's controversial new policy of expelling or imprisoning them. They marched a short distance from the Holot open detention centre to Saharonim Prison, chanting slogans and carrying signs demanding the prisoners' release.",0,2018-Q1
2018-04-04,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Jerusalem,On Wednesday hundreds protested against Netanyahu's cancellation the UN agreement on thousands of African migrants.,0,2018-Q2
2018-05-07,2018,Riots,Mob violence,Rioters (Israel),Civilians (Israel),Israel,HaZafon,Young men from the Israeli right threw eggs at the car of speakers from Breaking the Silence who were speaking in Kiryat Shmona on May 7. The men also threatened and attacked people attending the event.,0,2018-Q2
2018-05-18,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Jerusalem,Around 600 demonstrators marched in a Slutwalk through Jerusalem to protest rape culture on May 18.,0,2018-Q2
2018-05-20,2018,Protests,Peaceful protest,Protesters (Palestine),,Israel,HaDarom,Palestinian prisoners protested following the death of an inmate who had assaulted a guard. Protests were reported on May 20 at Eshel Prison near Be'er Sheva.,0,2018-Q2
2018-05-20,2018,Protests,Peaceful protest,Protesters (Palestine),,Israel,HaDarom,Palestinian prisoners protested following the death of an inmate who had assaulted a guard. Protests were reported on May 20 at Ketziot (Qeziot) Prison in the Negev.,0,2018-Q2
2018-07-14,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,Civilians (Israel),Israel,HaDarom,Three Israelis were injured when a Hamas rocket hit a house near Sderot on July 14.,0,2018-Q3
2018-01-13,2018,Riots,Violent demonstration,Rioters (Israel),Rioters (Israel),Israel,Tel Aviv,"For the fifth Saturday night, thousands of people joined aprotestmarch in Tel Aviv against government corruption, targeting Prime Minister Benjamin Netanyahu, and his family in particular. During Saturday's protest, minor scuffles broke out between demonstrators and right-wing counter protesters, dozens of whom attended the rally.",0,2018-Q1
2018-02-10,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Jerusalem,"A large protest against the current government plan to deport asylum-seekers from Sudan and Eritrea is taking place in Jerusalem, attracting around 2,000 people Saturday.",0,2018-Q1
2018-04-21,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Jerusalem,Hundreds of demonstrators on April 21 attended a demonstration in front of the Supreme Court in Jerusalem organized by the Zionist Union to express support in the Supreme Court.,0,2018-Q2
2018-05-29,2018,Strategic developments,Disrupted weapons use,Military Forces of Israel (2009-2021),PIJ: Palestinian Islamic Jihad,Israel,HaDarom,Interception: Israel's Iron Dome intercepted several Islamic Jihad/Hamas launched rockets over towns including Askelon and Sderot on May 29.,0,2018-Q2
2018-05-29,2018,Strategic developments,Disrupted weapons use,Military Forces of Israel (2009-2021),PIJ: Palestinian Islamic Jihad,Israel,HaDarom,Interception: Israel's Iron Dome intercepted several Islamic Jihad/Hamas launched rockets over towns including Askelon and Sderot on May 29.,0,2018-Q2
2018-05-06,2018,Riots,Mob violence,Rioters (Eritrea),Rioters (Eritrea),Israel,Tel Aviv,Clashes broke out in Tel Aviv between Eritreans who support the government and Eritreans who do not on June 5 at the south Tel Aviv old bus station. Four people were injured.,0,2018-Q2
2018-06-18,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Tel Aviv,Bus drivers blocked a major intersection in Tel Aviv in protest against working conditions on June 18.,0,2018-Q2
2018-07-12,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,Residents of Sderot on July 12 demonstrated at the entrance of the city because Netanyahu has not yet visit the area effected by incendiary devices.,0,2018-Q3
2018-07-13,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,Israel,HaDarom,Hamas launched reportedly at least 17 rockets on July 13 in retaliation against Israeli airstrikes. At least 7 of the projectiles were intercepted by Israel's Iron Dome. Two projectiles were intercepted over Sderot and one projectile landed in an open area outside Sderot.,0,2018-Q3
2018-07-13,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,Israel,HaDarom,Two Hamas projectiles landed on July 13 between Kissufim and Ein HaShlosa.,0,2018-Q3
2018-07-14,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Tel Aviv,"Some 2500 demonstrators gathered in Tel Aviv on July 14 to protest the controversial nation-state bill, saying it is racist and discriminatory.",0,2018-Q3
2018-07-29,2018,Protests,Peaceful protest,Protesters (Ethiopia),,Israel,Jerusalem,Demonstrators from Israel's Ethiopian community disrupted traffic on July 29th outside of the Knesset in Jerusalem in protest over the government's failure to bring Ethiopian Jews to Israel.,0,2018-Q3
2018-12-20,2018,Strategic developments,Looting/property destruction,Military Forces of Egypt (2014-),Civilians (Israel),Israel,HaDarom,"Property destruction: On Dec 20, stray bullets fired by the Egyptian military damaged a trailer in the educational youth village of Nitzana. On Dec 30, an Egyptian general visited the village to apologize for the incident which was caused by a military drill.",0,2018-Q4
2019-02-17,2019,Strategic developments,Change to group/activity,Hamas Movement,,Israel,HaDarom,"Security measures: On Feb 17 2019, Hamas took control of the Palestinian side of the Kerem Shalom crossing in Gaza and expelled PA employees from it. As of now, goods continue to pass through the crossing as normal.",0,2019-Q1
2018-06-16,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"Incendiary kites and balloons launched from Gaza on June 16 sparked over 20 fires in Israel. Locations included Erez, Kissufim, Mefalsim, Re'im, Be'eri, an Israeli military post and a nature reserve near Nir Am.",0,2018-Q2
2018-05-20,2018,Protests,Peaceful protest,Protesters (Palestine),,Israel,HaZafon,Palestinian prisoners protested following the death of an inmate who had assaulted a guard. Protests were reported on May 20 at Gilboa Prison in the Galilee.,0,2018-Q2
2018-06-04,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,Fires sparked by flaming kites from Gaza broke out near Beeri and Reim on June 4.,0,2018-Q2
2019-07-31,2019,Strategic developments,Looting/property destruction,Settlers (Israel),Civilians (Israel),Israel,Haifa,"Property destruction: on 31 July 2019, Israeli settlers slashed tires and sprayed racist graffiti on houses and cars in Jisr ez Zarqa village of Haifa district.",0,2019-Q3
2019-08-09,2019,Protests,Peaceful protest,Protesters (Israel),,Israel,Jerusalem,"As reported on August 9 2019, a group of 150 people demonstrated outside PM Benjamin Netanyahu's home in Jerusalem, demanding that he returns the bodies of the prisoners of war which are held by Hamas since 2014.",0,2019-Q3
2019-08-23,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 23 August 2019, an incendiary balloon launched from Gaza into Israel caused a fire in the Eshkol Regional Council. No injuries were reported.",0,2019-Q3
2018-01-01,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,A projectile fired on Monday from theGazaStrip hit the Eshkol region of southernIsraelwithout causingcasualties.,0,2018-Q1
2018-05-22,2018,Riots,Violent demonstration,Rioters (Palestine),,Israel,HaDarom,A number of youths from Gaza set a military post on fire south of Kissufim on May 22. No casualties were reported.,0,2018-Q2
2019-10-11,2019,Strategic developments,Looting/property destruction,Unidentified Armed Group (Palestine),Civilians (Israel),Israel,Haifa,"Property destruction: On October 11 2019, dozens of tombstones at the Haifa cemetery for Commonwealth casualties of World War I were vandalised. 50 graves were sprayed painted with swastikas, and 3 were destroyed completely.",0,2019-Q4
2019-02-12,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"Incendiary balloons launched from Gaza on Feb 12 2019, sparked fires in Karmiyya.",0,2019-Q1
2019-02-12,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"Incendiary balloons launched from Gaza on Feb 12 2019, sparked fires in Yad Mordekhay.",0,2019-Q1
2019-07-16,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 16 July 2019, an incendiary balloon fired by an unidentified armed group started a forest fire in Shoqeda.",0,2019-Q3
2019-07-25,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 25 July 2019, an incendiary balloon fired by an unidentified armed group started a fire in Eshkol of Ashdud district.",0,2019-Q3
2019-08-11,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 11 August 2019, an incendiary balloon launched from Gaza into Israel caused a fire in Yakhini. No injuries were reported.",0,2019-Q3
2019-08-15,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 15 August 2019, an incendiary balloon launched from Gaza into Israel caused a fire in Kefar Azza. No injuries were reported.",0,2019-Q3
2019-08-17,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 17 August 2019, 3 missiles fired by an unidentified armed group were intercepted by Iron Dome, while one of the missiles hit a courtyard of a house in Sderot. No casualties reported by source.",0,2019-Q3
2019-09-10,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 10 September 2019, a fire was started when an unidentified armed group fired an incendiary balloon at Kissufim. No casualties reported by source.",0,2019-Q3
2019-07-30,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 30 July 2019, an incendiary balloon was fired from Gaza at Alumim of Ashqelon district. No casualties reported by source.",0,2019-Q3
2019-07-30,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 30 July 2019, an incendiary balloon was fired from Gaza at Kissufim of Beer Sheva district. No casualties reported by source.",0,2019-Q3
2018-06-15,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,A fire started by an incendiary kite launched from Gaza was reported in Reim on June 15.,0,2018-Q2
