event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2019-05-24,2019,Protests,Peaceful protest,Protesters (South Korea),,South Korea,South Gyeongsang,"On 24 May 2019, residents of Yangsan staged a protest in front of Yangsan City Hall Woongsang Branch, opposing the re-rental of a fishing site in Chukchon-josuji.",0,2019-Q2
2019-05-24,2019,Protests,Peaceful protest,Protesters (South Korea),,South Korea,Jeju,"On 24 May 2019, the employees of various car rental companies staged a protest at Jeju Airport, demanding large car rental companies to join the reduction of the number of rental cars in Jeju.",0,2019-Q2
2019-05-27,2019,Protests,Peaceful protest,Protesters (South Korea),,South Korea,Jeju,"On 27 May 2019, members of Korean Teachers and Education Workers Union and civic groups staged a protest in front of Jeju Self-governing Provincial Office of Education, against the establishment of a school-based on ACS International.",0,2019-Q2
2019-05-27,2019,Protests,Peaceful protest,Protesters (South Korea),,South Korea,South Gyeongsang,"Since 27 May 2019, members of Gyeongsang National University affiliated with Korean Irregular Professor Union held a press conference in front of the headquarters of Gyeongsang National University in Jinju and staged an indefinite sit-in. They called for the full enforcement of the law protecting part-time lecturers and job security of lecturers.",0,2019-Q2
2019-06-05,2019,Protests,Peaceful protest,Protesters (South Korea),,South Korea,South Jeolla,"On 5 June 2019, about 300 POSCO and partner companies' workers staged a rally in front of Gwangyang City Hall (Gwangyang), to oppose the forced shutdown of blast furnaces by Chungnam Provincial Government.",0,2019-Q2
2019-06-10,2019,Protests,Peaceful protest,Protesters (South Korea),,South Korea,Gyeonggi,"On 10 June 2019, 4 students and a teacher gathered in front of Gwacheon Government Complex (Gwacheon), to protest for a recognition of refugee status of their Iranian friend's parent.",0,2019-Q2
2019-06-11,2019,Protests,Peaceful protest,Protesters (South Korea),,South Korea,North Jeolla,"On 11 June 2019, about 500 fishers from North Jeolla Province staged a rally in front of Gunsan Saemangeum Convention Center (Gunsan), opposing the resignation of sand mining site in the West Sea EEZ.",0,2019-Q2
2019-06-12,2019,Protests,Peaceful protest,Protesters (South Korea),,South Korea,South Gyeongsang,"On 12 June 2019, about 200 labour union members of Daewoo Shipbuilding & Marine Engineering (DSME) affiliated with the Korean Confederation of Trade Unions staged a sit-in at the headquarters of DSME (Geoje), opposing the Hyundai Heavy Industries' split-up plan for a merger with DSME.",0,2019-Q2
2019-06-13,2019,Protests,Peaceful protest,Protesters (South Korea),,South Korea,South Jeolla,"On 13 June 2019, about 600 residents of Naju staged a protest in front of Naju City Hall, opposing the operation of a solid refuse fuel (SRF) power plant in the town.",0,2019-Q2
2019-01-21,2019,Protests,Peaceful protest,Protesters (South Korea),,South Korea,Gangwon,"On 21 January 2019, around 40 members of the Gangwon regional headquarters of the KTU under the KCTU rallied in front of the Chuncheon District Court in Chuncheon-si, Gangwon, urging to cancel the ruling of the KTU as an illegal union and arrest the former Chief Justice for investigation on judicial manipulation.",0,2019-Q1
