event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2019-04-17,2019,Strategic developments,Change to group/activity,Military Forces of North Korea (2011-),,North Korea,North Pyongan,"On 17 April 2019, North Korea tested a new tactical weapon with President Kim Jong-Un's supervision. According to a U.S. think tank, activity had been detected around Nyongbyon. It marked the first weapon test after a summit between Kim and US President Trump.",0,2019-Q2
2019-12-07,2019,Strategic developments,Change to group/activity,Military Forces of North Korea (2011-),,North Korea,North Pyongan,"On 7 December 2019, according to South Korean officials North Korean military forces conducted a burn test of a rocket engine at the Sohae Satellite Launching Station in in Tongch'ang-ri, Pyeongbuk-do. North Korea had last conducted such a test in March 2017.",0,2019-Q4
2019-12-13,2019,Strategic developments,Change to group/activity,Military Forces of North Korea (2011-),,North Korea,North Pyongan,"On 13 December 2019, North Korean military forces conducted an ICBM engine test at the Sohae Satellite Launching Station in Tongch'ang-ri, Pyeongbuk-do.",0,2019-Q4
2020-08-20,2020,Strategic developments,Change to group/activity,Government of North Korea (2011-),,North Korea,Ryanggang,"On 20 August 2020, two North Korean women living in China were caught crossing into North Korea near Samjiyon in Ryanggang Province. As a result, the border cities of Samjiyon and Hyesan were locked down due to fears that the women may test positive for coronavirus.",0,2020-Q3
2019-03-29,2019,Strategic developments,Change to group/activity,Military Forces of North Korea (2011-),,North Korea,North Pyongan,"Around 29 March 2019 (as reported), according to South Korean intelligence agencies, North Korea almost completed restoring a part of the Dongchang-ri nuclear missile launch site (Tongchang-ri missile engine test site in Cholsan County, North Pyongan Province, also known as the Sohae Satellite Launching Station) although it partially dismantled last year as part of disarmament steps.",0,2019-Q1
2020-10-15,2020,Strategic developments,Disrupted weapons use,Military Forces of North Korea (2011-),,North Korea,Ryanggang,"Detonation: Around 15 October 2020 (month of), an anonymous source reported that soldiers of the 25th border guard brigade and Special Forces were injured in an explosion while laying landmines along the northern border in Ryanggang Province (coded as Hyesan City) in an attempt to stop border crossings during the coronavirus pandemic. In mid-October 2020, one Special Forces soldier died and three more were injured in a similar project along Ryanggang Province border due to insufficient field training.",1,2020-Q4
2020-11-08,2020,Strategic developments,Disrupted weapons use,Military Forces of North Korea (2011-),,North Korea,Ryanggang,"Detonation: On 8 November 2020, an anonymous source reported that one North Korean officer was killed and another soldier maimed in an explosion while inspecting landmines along the northern border in Ryanggang Province (coded as Hyesan City) in an attempt to stop border crossings during the coronavirus pandemic.",1,2020-Q4
2020-08-02,2020,Strategic developments,Change to group/activity,Military Forces of North Korea (2011-),,North Korea,Ryanggang,"Change to armed group: On 2 August 2020, North Korea deployed 1,500 troopers from its 11th Corps - a special anti-terrorism unit - to the Chinese border in Ryanggang Province near Hyesan City to strengthen enforcement along the border due to coronavirus concerns. Sources within North Korea increased the estimate to 3,000 troopers in both Ryanggang and North Hamgyong Provinces by 13 August 2020.",0,2020-Q3
2020-08-15,2020,Strategic developments,Looting/property destruction,Military Forces of North Korea (2011-),Civilians (North Korea),North Korea,North Hwanghae,"Around 15 August 2020 (month of), North Korea ordered all military units to focus on rebuilding areas damaged by flooding from typhoons instead of participating in summer training exercises. Anonymous sources within North Korea report that soldiers deployed to Unpha County in North Hwanghae Province for recovery efforts are stealing from locals, pawning off construction materials and more in exchange for bread, alcohol, and other basics.",0,2020-Q3
2020-08-20,2020,Strategic developments,Change to group/activity,Government of North Korea (2011-),,North Korea,Ryanggang,"On 20 August 2020, two North Korean women living in China were caught crossing into North Korea near Samjiyon in Ryanggang Province. As a result, the border cities of Samjiyon and Hyesan were locked down due to fears that the women may test positive for coronavirus.",0,2020-Q3
2018-07-24,2018,Strategic developments,Other,Government of North Korea (2011-),,North Korea,North Pyongan,"Other: Around 24 July 2018 (as reported), the North Korean government started dismantling Sohae Satellite Launching Station in Tongchang-ri, Cholsan County, North Pyongan Province. The station used as a missile engine test site which Kim Jong Un promised to shut down during the last summit with the U.S. on 12 June 2018.",0,2018-Q3
2020-09-07,2020,Strategic developments,Other,Unidentified Armed Group (International),Civilians (North Korea),North Korea,Kangwon,"Explosive remnants of war: On 7 September 2020, a massive explosive device went off at a typhoon recovery site in Kumgang county in Kangwon Province, according to an anonymous source. The device was a Korean War-era bomb that had been unearthed by heavy rains from Typhoons Maysak and Haishen, and resulted in the deaths of 2 government officials and 2 bomb squad technicians when they attempted to disarm it.",4,2020-Q3
2020-08-10,2020,Strategic developments,Change to group/activity,Military Forces of North Korea (2011-),,North Korea,Ryanggang,"On 10 August 2020, military authorities in North Korea quarantined a company of soldiers from the 25th border guard brigade stationed along the Sino-Korean border in Ryanggang Province after one soldier came into contact with a Chinese national. The quarantine is planned to last two months, after which the soldiers will be inspected for any symptoms of coronavirus.",0,2020-Q3
2020-11-15,2020,Strategic developments,Change to group/activity,Military Forces of North Korea (2011-),,North Korea,Ryanggang,"Security measures: Around 15 November 2020 (month of), anonymous sources reported that anti-aircraft artillery battalions under the 9th Corps were forward deployed to the norther border in Ryanggang Province (coded as Hyesan City) to deter citizens from attempting to flee to China during the coronavirus pandemic.",0,2020-Q4
2020-11-15,2020,Strategic developments,Change to group/activity,Military Forces of North Korea (2011-),,North Korea,North Hamgyong,"Security measures: Around 15 November 2020 (month of), anonymous sources reported that anti-aircraft artillery battalions under the 9th Corps were forward deployed to the border city of Hoeryong (Hoeryong City) in North Hamgyong Province to deter citizens from attempting to flee to China during the coronavirus pandemic.",0,2020-Q4
2020-11-15,2020,Strategic developments,Change to group/activity,Military Forces of North Korea (2011-),,North Korea,North Hamgyong,"Security measures: Around 15 November 2020 (month of), anonymous sources reported that anti-aircraft artillery battalions under the 9th Corps were forward deployed to the border county of Onsong in North Hamgyong Province to deter citizens from attempting to flee to China during the coronavirus pandemic.",0,2020-Q4
2020-11-15,2020,Strategic developments,Change to group/activity,Military Forces of North Korea (2011-),,North Korea,North Hamgyong,"Security measures: Around 15 November 2020 (month of), anonymous sources reported that anti-aircraft artillery battalions under the 9th Corps were forward deployed to the border county of Musan in North Hamgyong Province to deter citizens from attempting to flee to China during the coronavirus pandemic.",0,2020-Q4
2020-12-15,2020,Strategic developments,Other,Government of North Korea (2011-),,North Korea,Chagang,"Other: Around 15 December 2020 (month of), an anonymous source reported that about 600 people working as administrative staff at Correctional Labor Camp Number 6 (Songgan County), including the head of the camp, were replaced due to constant controversies on human rights abuses at the camp. The move is seen as a way to soothe public indignation over this matter.",0,2020-Q4
2018-04-15,2018,Strategic developments,Change to group/activity,Government of North Korea (2011-),,North Korea,Chagang,"Change to armed group: Around 15 April 2018 (month of), the North Korean government designated Chagang Province (capital Kanggye City) as a strategic military region, likely in an effort to conceal nuclear weapons and associated material associated with the completion of expanded underground military factories in the province.",0,2018-Q2
2021-01-18,2021,Strategic developments,Other,Military Forces of North Korea (2011-),Civilians (North Korea),North Korea,Ryanggang,"Other: On 18 January 2021, 3 family members were arrested near Hyesan City by North Korean military and border patrol units stationed on the Sino-North Korean border as they attempted to defect through Kimhyongjik County. As reported by Asia Press from a source inside North Korea, the man took opium as they were caught and was rendered unconscious.",0,2021-Q1
2021-02-22,2021,Protests,Peaceful protest,Protesters (North Korea),,North Korea,North Hwanghae,"On 22 February 2021, workers at the Hwanghae Iron and Steel Complex held a rally at Songnim City in North Hwanghae. They initiated the rally to solidify their commitment to meet their production target and called for all the working people to achieve the first-year goal of the country's five-year economic development scheme. Some high-ranking officials, such as one of the seven secretaries of the Central Committee of the Workers' Party of Korea, attended the rally.",0,2021-Q1
2021-03-03,2021,Protests,Protest with intervention,Protesters (North Korea),Police Forces of North Korea (2011-),North Korea,Ryanggang,"On 3 March 2021, after the North Korean authorities ordered a 30-day lockdown of Hyesan city, the residents (mostly elderly) staged a protest in the city (Hyesan City, Ryanggang province) to oppose the lockdown order. A scuffle with riot police who had been mobilized to keep the situation under control was reported.",0,2021-Q1
2018-05-24,2018,Strategic developments,Other,Government of North Korea (2011-),,North Korea,North Hamgyong,"Other: Around 24 May 2018 (between 23 - 25 May), the North Korean government demolished tunnels at its nuclear test site in Punggye-ri, Kilju, North Hamgyong. The move was seen as part of a diplomatic rapprochement with South Korea. The event occurred ahead of a planned summit between US and DPRK leaders in Singapore on 12 June, which has now been cancelled by President Trump. The North Korea government invited journalists from the United States, South Korea, China, Russia and Britain to witness the dismantling process.",0,2018-Q2
2018-07-13,2018,Violence against civilians,Attack,Military Forces of North Korea (2011-),Civilians (North Korea),North Korea,Ryanggang,"On 13 July 2018, three robbers, assumably soldiers, broke into a house in Wiyeon-dong, a suburb of Hyesan City, threatening a 60-year-old man with a knife. Two residents who witnessed the incident shouted and were stabbed by the robbers. The burglars stole household items. It is believed that the incident occurred due to food shortages in military units which led the soldiers to steal.",0,2018-Q3
2018-07-12,2018,Strategic developments,Looting/property destruction,Military Forces of North Korea (2011-),Government of North Korea (2011-),North Korea,Ryanggang,"On 12 July 2018, school computers and printers were stolen from Hyesan People's Committee's supply station in Hyesan City. The suspects are believed to be soldiers. It is believed that the incident occurred due to food shortages in military units.",0,2018-Q3
2018-06-01,2018,Violence against civilians,Attack,Military Forces of North Korea (2011-),Civilians (North Korea),North Korea,Ryanggang,"Around 1 June 2018 (beginning of month), 2 soldiers raided a house of an executive of a collective farm in Ryanggang Province (coded at Hyesan City). They beat the farmer with a club and stole some bags of rice. It is believed that the incident occurred due to food shortages in military units caused by the previous year severe drought.",0,2018-Q2
2018-05-04,2018,Strategic developments,Other,Government of North Korea (2011-),,North Korea,North Hamgyong,"Other: Around 4 May 2018 (between 28 April - 10 May), buildings of a nuclear test site were dismantled in Punggye-ri, Kilju, North Hamgyong. This happened after North Korean leader Kim Jong Un showed his commitment to halt nuclear tests in the inter-Korea summit on 27 April.",0,2018-Q2
2019-12-07,2019,Strategic developments,Change to group/activity,Military Forces of North Korea (2011-),,North Korea,North Pyongan,"Change to armed group: On 7 December 2019, the North Korean government conducted a missile engine test at the Sohae Satellite Launching Station in Tongchang-ri, Cholsan. Observers estimated that the test was related to long-range ballistic missile technology. North Korea had boycotted nuclear talks for months and recently threatened to resume missile tests. Scholars believed that denuclearization was already off the negotiating table.",0,2019-Q4
