event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-01-19,2018,Violence against civilians,Attack,Police Forces of Russia (2000-),Civilians (Russia),Russia,Krasnodar,"On 19 January 2018, a man was beaten by a police officer who stopped his car in Kropotkin to check his involvement in a crime. The man was beaten on the spot and then in the police department. As a result, several of his ribs were broken and he had an haemorrhage of the right eye.",0,2018-Q1
2018-01-30,2018,Violence against civilians,Attack,Police Forces of Russia (2000-) Prison Guards,Civilians (Russia),Russia,Kaliningrad,"As reported on August 6th, another case of torturing inmates in prisons took place in Kaliningrad on 30th January. An inmate was beaten by the officer severely and had several ribs broken. The officer has been arrested recently, as the campaign against violence in prison has been initiated across the country.",0,2018-Q1
2018-02-05,2018,Strategic developments,Change to group/activity,Military Forces of Russia (2000-),,Russia,Kaliningrad,5 Feb: The Russian authorities from the State Duma confirmed deployment of Iskander missiles in the sensitive area of the Kaliningrad exclave. Their removal is not expected in the foreseeable future. The official mentioned their wide-Europe operational range.,0,2018-Q1
2018-02-07,2018,Strategic developments,Change to group/activity,Military Forces of Russia (2000-),,Russia,Sakhalin,"Military drills took place on the Kuril Islands (Sakhalinsk oblast) the disputed and politically sensitive terriory. On Feb 7., the Japanese government protested against the exercise, however the Russian side confirmed the full length of the event (until the end of the week) anyway. According to the official military press service, around 2000 men and 500 vehicles and aircraft were involved. Similar smaller and not such sensitive exercises took place simultaneously across several locations of the eastern Russia.",0,2018-Q1
2018-02-09,2018,Riots,Mob violence,Rioters (Russia),Rioters (Russia),Russia,Nizhny Novgorod,"On 9 February 2018, in Nizhny Novgorod, during a meeting with voters of candidate Pavel Grudinin, some people put out posters while a representative of KPRF was speaking. A fight broke out when KPRF representatives approached the intruding people who were putting up the posters. The intruders were than handed over to the police. It was alleged that they were associated with Eduard Limonov party, though unconfirmed.",0,2018-Q1
2018-02-15,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Voronezh,"In February 2018, a demonstration organized by local members of Navalny's Progress Party in Voronezh drew 300 participants",0,2018-Q1
2018-02-15,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Voronezh,"In February 2018, a protest was organized by activists concerned with the counting of dead persons as voters in the Russian election.",0,2018-Q1
2018-02-18,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Chelyabinsk,"On 18 February 2018, 3000 people gathered in Chelyabinsk to protest against the construction of the Tominsky mining and processing plant that they claim will contaminate drinking water and pollute the air. Event organized by Stop GOK.",0,2018-Q1
2018-02-18,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Republic of Tatarstan,"On 18 February 2018, about 150 persons participated in a rally in Kazan to demand the return of compulsory teaching of the Tatar language, the opening of the Tatar national university and the ratification of the European Charter on Regional languages.",0,2018-Q1
2018-02-19,2018,Violence against civilians,Abduction/forced disappearance,Police Forces of Russia (2000-),Civilians (Russia),Russia,Republic of Dagestan,"One day after shooting in Kizlar on 18th, two local male residents disappeared. Their relatives were informed that they were arrested four days later. One of the relatives of one of the detainees, a witness of his detention, claimed that police found guns and a grenade in their house, but nobody did see them finding it.",0,2018-Q1
2018-03-07,2018,Violence against civilians,Attack,Police Forces of Russia (2000-),Civilians (Russia),Russia,Orenburg,"On 07 March 2018, Mushfig Shikhaliyev and Ramin Shakhmarov were arrested and taken to law enforcement offices in Orenburg for their alleged implication in the murder of a local businessman and his son. The two individuals reported being tortured and threatened of rape by the police forces in order to obtain their confessions. They were released on 17 March for lack of evidence.",0,2018-Q1
2018-03-22,2018,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Russia),Police Forces of Russia (2000-),Russia,Saratov,"During a search on March 22nd 2018, two police officers were harmed by the detonation of an explosive disguised as a laptop. Both officers were wounded but no fatalities were reported.",0,2018-Q1
2018-03-27,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Moscow Oblast,"On 27 March 2018, people gathered in Volokolamsk in a spontaneous rally demanding the closure of the Yadrovo waste landfill.",0,2018-Q1
2018-03-31,2018,Battles,Armed clash,Unidentified Armed Group (Russia),Police Forces of Russia (2000-),Russia,Stavropol,"Around 01 April 2018, a police officer disappeared after leaving his house in the Ipatovsky district on 31 March. He was found in the truck of a car on 01 April with several stab wounds.",0,2018-Q1
2018-03-31,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Republic of Dagestan,On 31 March 2018 people living in Tukhchar (Novostroy)in Dagestan gathered in the settlement to protest the electricity shortages.,0,2018-Q1
2018-04-04,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Republic of Dagestan,On 4 April 2018 people living in Tukhchar (Novostroy)in Dagestan blocked the federal highway to protest the electricity shortages. It is the second time they protest problems with electricity in their settlement.,0,2018-Q2
2018-04-04,2018,Strategic developments,Looting/property destruction,Police Forces of Russia (2000-) Federal Security Service,Civilians (Russia),Russia,Sverdlovsk,"It was reported on April 3, that Federal Security Forces of Russia seized paper copies of secret topographic maps of the Russian Armed Forces General Staff from citizens of Russia and Ukraine in Omsk, Yekaterinburg and Simferopol and prevented transfer of these documents to third parties",0,2018-Q2
2018-04-05,2018,Strategic developments,Arrests,Police Forces of Russia (2000-),Civilians (International),Russia,Krasnodar,"Around 05 April 2018, 56 illegal migrants were found in a greenhouse complex in the Dinskoy district. They were all taken to the police station.",0,2018-Q2
2018-04-19,2018,Protests,Protest with intervention,Protesters (Russia),Police Forces of Russia (2000-),Russia,Moscow Oblast,"On 19 April 2018, 7-8 persons were detained by police forces in Kolomna as they participated in a protest against the construction of the Volovichi landfill. According to the activist Vyacheslav Yegorov, there were four employees of the Centre E among the detainees and they participated in the protest in order to encourage protesters to breach the law during the action.",0,2018-Q2
2018-04-21,2018,Battles,Armed clash,Police Forces of Russia (2000-),Unidentified Armed Group (Russia),Russia,Republic of Dagestan,"It was reported on April 21, that four more militants were neutralized in a separate incident following an earlier armed clash with the police forces in Derbent, Dagestan. Three were killed and one was detained. Explosives were seized following the event.",3,2018-Q2
2018-04-22,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Khanty-Mansi,"On 22 April 2018, people gathered in Nizhnevartovsk to protest against the housing subsidy programme. The action was authorised by the local authorities.",0,2018-Q2
2018-04-22,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Khanty-Mansi,"On 22 April 2018, people gathered in Surgut to protest against the housing subsidy programme. The action was authorised by the local authorities.",0,2018-Q2
2018-04-23,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Moscow Oblast,"On 23 April a protest was held in Solnechnogorsk, Moscow Oblast. The protesters marched against construction of landfill and demanded resignation of the governor.",0,2018-Q2
2018-04-24,2018,Strategic developments,Arrests,Police Forces of Russia (2000-) Federal Security Service,Hizb ut-Tahrir,Russia,Republic of Tatarstan,"On 24 April 2018 the Federal Security Service arrested 14 high profile members of Hizb ut Tahrir (described as 'terrorist' organization) regional cell in Tatarstan, Omsk and Ulyanovsk regions. They were allegedly recruiting fighters for Middle East and Afghanistan-Pakistani region.",0,2018-Q2
2018-04-24,2018,Protests,Protest with intervention,Protesters (Russia),Police Forces of Russia (2000-),Russia,Moscow Oblast,"On 24 April 2018, four workers of a building company Megapolis were detained by the police forces of Russia in Klimovsk as they protested against they employers who failed to pay their salaries.",0,2018-Q2
