event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-01-13,2018,Explosions/Remote violence,Air/drone strike,Military Forces of Saudi Arabia (2015-),,Saudi Arabia,Jizan,Five airstrikes were reportedly waged on Hamidhah village and Ad Dud in Jizan governorate. The source did not specify a target for the airstrikes.,0,2018-Q1
2018-12-23,2018,Explosions/Remote violence,Air/drone strike,Military Forces of Saudi Arabia (2015-),,Saudi Arabia,Jizan,"Seven Saudi air raids were reported in Jizan governorate, with no report of casualties.",0,2018-Q4
2018-07-12,2018,Strategic developments,Other,Military Forces of Saudi Arabia (2015-),,Saudi Arabia,Asir,"Non-violent activity: A Saudi tornado-type jet reportedly crashed in Asir governorate, KSA, after returning from a bombing run in Sadah governate, Yemen. Both pilots survived the accident. Al-Houthi forces claim to have shot the plane down.",0,2018-Q3
2018-05-31,2018,Battles,Armed clash,Unidentified Armed Group (Saudi Arabia),Police Forces of Saudi Arabia (2015-),Saudi Arabia,Mecca,A Saudi policeman was fatally stabbed by an unknown attacker in the city of Taif on the 31 May 2018.,1,2018-Q2
2018-05-07,2018,Battles,Armed clash,Police Forces of Saudi Arabia (2015-),Unidentified Armed Group (Saudi Arabia),Saudi Arabia,Asir,"A man identified as Khaled Mohammed Ali Al-Shehri was reportedly shot dead by Saudi police during a raid in An Namas town after he attacked security officers with a knife. According to the Saudi interior ministry, the man killed was responsible for the death of 4 police officers in Asir district last month (Recorded in the ACLED dataset as SAU1843).",1,2018-Q2
2018-04-19,2018,Battles,Armed clash,Unidentified Armed Group (Saudi Arabia),Police Forces of Saudi Arabia (2015-),Saudi Arabia,Asir,"4 Police officers were killed and 4 others injured during clashes with unidentified armed men at a checkpoint in Asir province. According to the source, the security checkpoint came under fire from an unknown source on the Arqoub road between Majarada and Baeq. One of the gunmen (A Saudi citizen) was killed and two others arrested. A fifth security officer died as he was being transferred to the hospital.",6,2018-Q2
2018-04-07,2018,Battles,Armed clash,Unidentified Armed Group (Saudi Arabia),Police Forces of Saudi Arabia (2015-),Saudi Arabia,Eastern,"A Saudi security officer was killed on Thursday by unidentified gunmen as he was taking part in a raid in Al-Awamiyah area of Qatif. According to the source, several weapons and explosives were later seized.",1,2018-Q2
2018-03-28,2018,Explosions/Remote violence,Air/drone strike,Military Forces of Saudi Arabia (2015-),,Saudi Arabia,Jizan,Saudi air forces carried out air raids - reportedly more than twenty-five - on different areas of Jizan governorate. No casualties were reported.,0,2018-Q1
2018-03-27,2018,Protests,Protest with intervention,Police Forces of Saudi Arabia (2015-),Protesters (Saudi Arabia),Saudi Arabia,Mecca,"32 individuals were arrested for protesting in front of the KSA government administration building in Taif city, KSA. According to the source, the protest was held in response to a government plan to arrest individuals who refused a government order to tear down housing built on government owned plots of land.",0,2018-Q1
2019-09-29,2019,Battles,Armed clash,Humat al Tawhid,Police Forces of Saudi Arabia (2015-),Saudi Arabia,Mecca,"On 29 September 2019, Saudi authorities reportedly killed the killer of one of the personal guards of the Saudi King, Abd al Aziz al-Faghm from the Mutayr tribe, in the Hayy al Shati (Jiddah, Makkah). The killer reportedly belongs to a new group called Humat al-Tawhid (Guardians of Monotheism). Contrary to this version of the facts, Saudi whistleblowers claim that the matter is connected to the killing of journalist Khashoggi one year ago. Earlier it had been suggested that the killing came after a personal dispute, but main figures of the Mutayr tribe had been forced to meet with Crown Prince Muhammad bin Salman in Riyadh and were prevented from travelling abroad.",1,2019-Q3
2020-03-24,2020,Strategic developments,Other,Government of Saudi Arabia (2015-),Civilians (Saudi Arabia),Saudi Arabia,Mecca,"On 24 March 2020, the government of Saudi Arabia released hundreds of prisoners from the Al Shumaisi prison (Makkah, Makkah) to combat the spread of coronavirus.",0,2020-Q1
2020-04-13,2020,Battles,Armed clash,Police Forces of Saudi Arabia (2015-),Howeitat Tribal Militia (Saudi Arabia),Saudi Arabia,Tabuk,"On 13 April 2020, police forces of Saudi Arabia raided the house of a tribal activist of the Howeitat tribe in Al Kuraybah (Duba, Tabuk) over his rejection of compensation and subsequent refusal to vacate his property for the NEOM city project in the north-west corner of the country. The activist had allegedly shot at security forces and was then killed in the shootout.",1,2020-Q2
2020-03-27,2020,Strategic developments,Arrests,Police Forces of Saudi Arabia (2015-),Civilians (Saudi Arabia),Saudi Arabia,Ar Riyadh,"On 27 March 2020, Saudi security forces reportedly arrested Prince Faisal bin Abdullah Al Saud for unknown reasons. The location of his detention was also not known.",0,2020-Q1
2020-06-27,2020,Violence against civilians,Attack,Military Forces of Saudi Arabia (2015-),Civilians (Iran),Saudi Arabia,Eastern,"On 27 June 2020, Saudi military forces reportedly fired at Iranian fishers who crossed into Saudi territorial waters. No one was injured and the Iranians returned to Rostami port.",0,2020-Q2
2020-08-01,2020,Protests,Peaceful protest,Protesters (Saudi Arabia),,Saudi Arabia,Najran,"On 1 August 2020, Saudi forces of the 1st Infantry Brigade stationing on the Najran Axis reportedly demonstrated against the Saudi leadership, demanding the payment of their salaries which have not been paid for 5 months.",0,2020-Q3
2020-09-01,2020,Strategic developments,Other,Operation Restoring Hope,,Saudi Arabia,Ar Riyadh,"On 1 September 2020, King Salman of Saudi Arabia issued a decree to remove Prince Fahd bin Turki bin Abdulaziz Al Saud as the commander of the Saudi-led coalition over accusations of corruption. Lt. Gen. Mutlaq bin Salem bin Mutlaq Al-Azima was designated as the interim commander. The princes son, deputy governor of Al Jawf province in Saudi Arabia, and several commanders have been relieved of their duties as well.",0,2020-Q3
