event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-08-09,2018,Battles,Armed clash,Fur Ethnic Militia (Sudan),Unidentified Communal Militia (Sudan),Sudan,South Darfur,"09 August. Fur farmers clashed with a group of nomads in Hebry village, close to Feina. Four people killed, several injured and 100 head of livestock stolen",4,2018-Q3
2019-07-21,2019,Violence against civilians,Attack,Darfur Communal Militia (Sudan),Civilians (Sudan),Sudan,North Darfur,"On or around July 21st, pastoralist militias were reported to have engaged in a spate of attacks against farmers at several locations in Kutum and Tawila localities (North Darfur state). The farmers were beaten and expelled from their farms. Two events coded (one in Tawila, the other in Kutum, both at prec2).",0,2019-Q3
2019-07-21,2019,Violence against civilians,Attack,Darfur Communal Militia (Sudan),Civilians (Sudan),Sudan,North Darfur,"On or around July 21st, pastoralist militias were reported to have engaged in a spate of attacks against farmers at several locations in Kutum and Tawila localities (North Darfur state). The farmers were beaten and expelled from their farms. Two events coded (one in Tawila, the other in Kutum, both at prec2).",0,2019-Q3
2019-01-17,2019,Battles,Armed clash,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction) (Splinter Faction),SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),Sudan,Central Darfur,"Between January 17th and March 26th, internal fighting within the SLM/A-Nur rebel group (over the plans of one faction to sign a peace accord with the government) killed 22 and wounded 9 fighters associated with the faction intending the sign the agreement (headed by Mubarak Aldouk, and coded as splinter faction), plus 20 killed and 15 wounded fighters in the group headed by Salih Borsa (coded as regular SLM/A-Nur). The events took place in the area of Daya (Central Darfur). Six events coded (four at time prec3, two at time prec1), with fatalities distributed across events.",7,2019-Q1
2019-01-28,2019,Battles,Armed clash,Beni Halba Ethnic Militia (Sudan),Beni Hussein Ethnic Militia (Sudan),Sudan,Central Darfur,"On Jan 28th, Beni Halba and Beni Hussein groups clashed in the area of Korare (Central Darfur), causing several injuries. The dispute was later peacefully resolved.",0,2019-Q1
2019-01-30,2019,Battles,Armed clash,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction) (Splinter Faction),SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),Sudan,Central Darfur,"Between January 17th and March 26th, internal fighting within the SLM/A-Nur rebel group (over the plans of one faction to sign a peace accord with the government) killed 22 and wounded 9 fighters associated with the faction intending the sign the agreement (headed by Mubarak Aldouk, and coded as splinter faction) and killed 20 and wounded 15 fighters in the group headed by Salih Borsa (coded as regular SLM/A-Nur). The events took place in the area of Daya (Central Darfur). Six events coded (four at time prec3, two at time prec1), with fatalities distributed across events).",7,2019-Q1
2019-02-03,2019,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Civilians (Sudan),Sudan,North Darfur,"On Feb 3rd, armed pastoralists killed three farmers at Tamel Daheash (North Darfur; no geographic information found, coordinates for El Fasher used at prec3). The farmers had been trying to stop the pastoralists from grazing their animals on their land.",3,2019-Q1
2019-02-14,2019,Battles,Armed clash,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction) (Splinter Faction),SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),Sudan,Central Darfur,"Between January 17th and March 26th, internal fighting within the SLM/A-Nur rebel group (over the plans of one faction to sign a peace accord with the government) killed 22 and wounded 9 fighters associated with the faction intending the sign the agreement (headed by Mubarak Aldouk, and coded as splinter faction) and killed 20 and wounded 15 fighters in the group headed by Salih Borsa (coded as regular SLM/A-Nur). The events took place in the area of Daya (Central Darfur). Six events coded (four at time prec3, two at time prec1), with fatalities distributed across events).",7,2019-Q1
2019-02-15,2019,Violence against civilians,Attack,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),Civilians (Sudan),Sudan,Central Darfur,"Between January 17th and March 26th, two rival SLM/A-al Nur factions attacked Fur civilians in the area of Daya (Central Darfur), killing 5, wounding 5, and abducting 15. It is not clear which factions are responsible for the specific deaths. Three events coded at time prec3, with fatalities distributed across three events. Two events coded with regular SLM/A-al Nur rebels as actor1, one with splinter faction as actor1.",2,2019-Q1
2019-02-28,2019,Battles,Armed clash,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction) (Splinter Faction),SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),Sudan,Central Darfur,"Between January 17th and March 26th, internal fighting within the SLM/A-Nur rebel group (over the plans of one faction to sign a peace accord with the government) killed 22 and wounded 9 fighters associated with the faction intending the sign the agreement (headed by Mubarak Aldouk, and coded as splinter faction) and killed 20 and wounded 15 fighters in the group headed by Salih Borsa (coded as regular SLM/A-Nur). The events took place in the area of Daya (Central Darfur). Six events coded (four at time prec3, two at time prec1), with fatalities distributed across events).",7,2019-Q1
