event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2019-05-20,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Anzoategui,"On 20 May 2019, residents from the neighborhood El Cerezo in Puerto la Cruz protested against the problems with water service.",0,2019-Q2
2019-05-20,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Trujillo,"On 20 May 2019, around 200 bus drivers from different companies blocked roads in Trujillo state to protest against gasoline scarcity. The police were present without intervening",0,2019-Q2
2019-05-21,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Trujillo,"On 21 May 2019, a group of students protested in Trujillo to defend the universities of the state.",0,2019-Q2
2019-11-13,2019,Battles,Armed clash,Unidentified Armed Group (Venezuela),Unidentified Armed Group (Venezuela),Venezuela,Tachira,"As reported on November 13 2019, close to El Cerrito neighborhood, Tachira state, there was an armed clash between unknown armed individuals. A man was killed and another man was injured during the clash. A witness reported that people are extorted in this area by National Guard (GNB) officials.",1,2019-Q4
2019-05-22,2019,Riots,Mob violence,Rioters (Venezuela),Rioters (Venezuela),Venezuela,Tachira,"On 22 May 2019, a group of people engaged in a fight with people who did not respect the lines to get gasoline in Guasimos municipality. After six days of being in line, a group of people started a violent confrontation after noticing that police officers allowed some people to pass without waiting for their turns. Neither fatalities nor injuries reported.",0,2019-Q2
2019-05-23,2019,Riots,Violent demonstration,Rioters (Venezuela),,Venezuela,Merida,"On 23 May 2019, a group of people forced a driver of a gasoline tank to stop in Merida. The participants blocked the road using the vehicle demanding solution for gasoline scarcity.",0,2019-Q2
2019-05-21,2019,Violence against civilians,Attack,Unidentified Armed Group (Venezuela),Civilians (Venezuela),Venezuela,Aragua,"On 21 May 2019, a member of the Wayuu indigenous group was found dead in Palo Negro. According to police, the attack could be related to extortions.",1,2019-Q2
2020-02-04,2020,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Bolivar,"As reported on February 4, 2020, in Puerto Ordaz, Ciudad Guayana, Bolivar state, workers from the state company National Steel Coordination protested to reject the threats they have received from security forces. Protesters also demanded better salaries and working conditions.",0,2020-Q1
2019-03-21,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Bolivar,"Between March 21 and 30 2019, in Villa Colombia, Ciudad Guayana, Bolivar state, neighbors protested due to the lack of electricity in the sector. It is reported that due to the explosion of two transformers, workers of the CORPOELEC electricity company demand the payment of 3,000 dollars to install new electrical transformers.",0,2019-Q1
2019-11-05,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Bolivar,"As reported on November 05 2019, in Ciudad Bolivar, Bolivar state, health workers protested to demand better working conditions and higher wages. It is reported that protesters joined the protests and the national strike of health workers.",0,2019-Q4
2020-02-03,2020,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Bolivar,"Between February 3 and 5, 2020, in San Felix, Ciudad Guayana, Bolivar state, 300 people protested to demand the distribution of domestic gas.",0,2020-Q1
2020-02-16,2020,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Bolivar,"As reported on February 16, 2020, in the Vista Hermosa neighborhood, Ciudad Bolivar, Bolivar state, a group of residents protested to demand the national gas company, PDVSA Gas, the distribution of domestic gas. The company has not distributed gas in five months.",0,2020-Q1
2019-03-17,2019,Riots,Violent demonstration,Rioters (Venezuela),,Venezuela,Bolivar,"Between March 17 and 28 2019, in Las Mulas, towards El Pao road, Piar municipality, Bolivar state, neighbors demonstrated with tires to reject the lack of water and other basic services in the area. It is reported that the neighbors have been demonstrating 12 days in a row.",0,2019-Q1
2019-11-15,2019,Strategic developments,Change to group/activity,Colectivos,,Venezuela,Tachira,"Between November 15 and 16 2019, in Urena, Tachira state, members of the Colectivo en Defensa de la Frontera y la Revolucion Bolivariana paraded through the city mounted on vans and motorcycles wearing balaclavas. The members of the Colectivo carried long weapons, aiming civilians with weapons, and throwing explosives in the city. The armed individuals warned the population that they would defend the regime of President Nicolas Maduro against any internal and international threat during the national protest called by the opposition leader, Juan Guaido.",0,2019-Q4
2019-11-15,2019,Strategic developments,Change to group/activity,Colectivos,,Venezuela,Tachira,"Between November 15 and 16 2019, in San Antonio del Tachira, Tachira state, members of the Colectivo en Defensa de la Frontera y la Revolucion Bolivariana paraded through the city mounted on vans and motorcycles wearing balaclavas. The members of the Colectivo carried long weapons, aiming civilians with weapons, and throwing explosives in the city. The armed individuals warned the population that they would defend the regime of President Nicolas Maduro against any internal and international threat during the national protest called by the opposition leader, Juan Guaido.",0,2019-Q4
2020-01-09,2020,Strategic developments,Other,Civilians (Venezuela),,Venezuela,Tachira,"Between January 8 and 10 2020, from Tachira state, 47,000 Venezuelan migrants entered Norte de Santander in Colombia. The director in charge of Migration Colombia informed that there has been an increase in migration flows. Some of the migrants cross the border to buy food and basic goods. Others are seeking to move to Colombia.",0,2020-Q1
2019-05-20,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Zulia,"On 20 May 2019, a group of people protested in Maracaibo against the energy outages.",0,2019-Q2
2019-05-22,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Anzoategui,"On 22 May 2019, pensioners protested in Puerto la Cruz claiming the payment of their pensions.",0,2019-Q2
2019-05-21,2019,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Venezuela),Civilians (Venezuela),Venezuela,Tachira,"On 21 May 2019, the human rights activist and member of Networks Foundation was reported as disappeared in Tachira state. The last time he was seen was before he crossed the border with Colombia. The Network Foundation requires protection measures to find him.",0,2019-Q2
2019-05-23,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Miranda,"On 23 May 2019, residents from the Antonio Jose de Sucre community in Los Teques blocked the Panamerican road to protest against the problems with water service.",0,2019-Q2
2020-01-16,2020,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Lara,"Between January 15 and 17 2020, in Barquisimeto, Lara state, a group of teachers protested to demand the increase in their salaries, the dollarization of their salaries, better working conditions, and better infrastructure within schools. Teachers informed that if authorities do not comply with their demands, they will start a collective strike.",0,2020-Q1
2019-05-22,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Zulia,"On 22 May 2019, a group of pensioners protested on the Bella Vista Avenue in Maracaibo against the problems with the payments of their pension.",0,2019-Q2
2020-01-20,2020,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Sucre,"As reported on January 20 2020, in the Libertador municipality, Sucre state, a group of residents from various communities have been protested to demand the distribution of domestic gas. Protesters have interrupted the traffic and blocked avenues to demand the authorities a solution.",0,2020-Q1
2020-01-20,2020,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Sucre,"As reported on January 20 2020, in the Ribero municipality, Sucre state, a group of residents from various communities have been protested to demand the distribution of domestic gas. Protesters have interrupted the traffic and blocked avenues to demand the authorities a solution.",0,2020-Q1
2019-05-23,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Trujillo,"On 23 May 2019, teachers protested on the Bolivar Avenue in Valera claiming respect for the universities autonomy and the end of Maduro's regime.",0,2019-Q2
2020-02-18,2020,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Merida,"On 18 February 2020, on the Americas avenue and the Urdaneta avenue in Libertador municipality in Merida, Merida state, protesters closed a road to demand electric power in the city. Protesters informed that they have been without electric power since February 14.",0,2020-Q1
2019-05-23,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Lara,"On 23 May 2019, in Guarico, renal patients and their relatives held a protest and peacefully overtook the dialysis room at the Zamora Arevalo Hospital, with the intention of drawing attention of the health authorities to obtain the endowment of 16 hemodialysis and osmosis machine that they need to the new dialysis room. Furthermore, during the event, a journalist of a local newspaper who was covering the event was attacked by a worker from the hospital. The protesters had to intervene in order to prevent the attack.",0,2019-Q2
2019-05-23,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Miranda,"On 23 May 2019, residents from the community El Chara in Charallave protested in front of the city hall of this municipality against the delays on the delivery of the government subsidized food packages.",0,2019-Q2
2019-05-20,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Bolivar,"On 20 May 2019, workers from CVG protested in Ciudad Guayana claiming respect for their labor rights and collectives contracts.",0,2019-Q2
2019-05-22,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Nueva Esparta,"On 22 May 2019, people protested inside the Luis Ortega Hospital in Porlamar against the suspension of the attention for medical consults. Also in Porlamar, on 4 de Mayo Avenue, people protested against the problems with gas service.",0,2019-Q2
2019-05-24,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Apure,"On 24 May 2019, in Guasdualito, residents of the city protested against the shortage of fuel and rejected the installation of a real estate transfer tax in the vicinity of the service stations.",0,2019-Q2
2020-01-22,2020,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Barinas,"Between January 22 and 23 2020, in San Silvestre, Barinas state, residents protested by blocking an avenue with their cars to reject the irregularities related to the distribution of gasoline.",0,2020-Q1
2020-01-20,2020,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Sucre,"As reported on January 20 2020, in the Benitez municipality, Sucre state, a group of residents from various communities have been protested to demand the distribution of domestic gas. Protesters have interrupted the traffic and blocked avenues to demand the authorities a solution.",0,2020-Q1
2020-01-20,2020,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Sucre,"As reported on January 20 2020, in the Valdez municipality, Sucre state, a group of residents from various communities have been protested to demand the distribution of domestic gas. Protesters have interrupted the traffic and blocked avenues to demand the authorities a solution.",0,2020-Q1
2019-05-18,2019,Battles,Armed clash,Unidentified Armed Group (Venezuela),Unidentified Armed Group (Venezuela),Venezuela,Tachira,"On 18 May 2019, unidentified armed groups clashed in Urena. Neither fatalities nor injuries reported. However, after the clash the armed group restricted mobility for the residents.",0,2019-Q2
2019-12-24,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Sucre,"As reported on December 24 2019, in Cumana, Sucre state, residents closed an avenue to protest against the lack of domestic gas and gasoline.",0,2019-Q4
2019-05-23,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Bolivar,"On 23 May 2019, former workers from the CVG protested in Ciudad Guayana demanding respect for their collective contracts.",0,2019-Q2
2019-05-20,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Merida,"On 20 May 2019, truck drivers blocked the Panamerican road near the Tulio Febres and the Sucre municipality to protest against the gasoline scarcity.",0,2019-Q2
2019-05-22,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Barinas,"On 22 May 2019, a group of people blocked the road that connects Barinas and Apure states near Ciudad de Nutria to protest against the problems with gas service.",0,2019-Q2
2019-05-21,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Merida,"On 21 May 2019, a group of people blocked the roads that connect to Trujillo, Merida, and Tachira in El Vigia to protest against gasoline scarcity.",0,2019-Q2
2019-05-22,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Anzoategui,"On 22 May 2019, a group of people protested in San Diego de Cabrutica demanding the re-open of the health center of this municipality and claiming solutions for public services problems.",0,2019-Q2
2019-05-23,2019,Protests,Peaceful protest,Protesters (Venezuela),,Venezuela,Anzoategui,"On 23 May 2019, a group of people protested in San Diego de Cabrutica demanding the re-open of the health center of this municipality and claiming solutions for public services problems.",0,2019-Q2
