data,titolo,link,meta,pdf_url,pdf_locale
2024-12-03,CISA and Partners Release Joint Guidance on PRC-Affiliated Threat Actor Compromising Networks of Global Telecommunications Providers,https://www.cisa.gov/news-events/alerts/2024/12/03/cisa-and-partners-release-joint-guidance-prc-affiliated-threat-actor-compromising-networks-global,Alert,,
2024-07-08,People’s Republic of China (PRC) Ministry of State Security APT40 Tradecraft in Action,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-190a,Cybersecurity Advisory | AA24-190A,,
2024-02-07,PRC State-Sponsored Actors Compromise and Maintain Persistent Access to U.S. Critical Infrastructure,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-038a,Cybersecurity Advisory | AA24-038A,https://www.cisa.gov/sites/default/files/2024-03/aa24-038a_csa_prc_state_sponsored_actors_compromise_us_critical_infrastructure_3.pdf,CHN_aa24-038a_csa_prc_state_sponsored_actors_compromise_us_critical_infrastructure_3.pdf
2024-01-31,CISA and FBI Release Secure by Design Alert Urging Manufacturers to Eliminate Defects in SOHO Routers,https://www.cisa.gov/news-events/alerts/2024/01/31/cisa-and-fbi-release-secure-design-alert-urging-manufacturers-eliminate-defects-soho-routers,Alert,,
2023-09-27,People's Republic of China-Linked Cyber Actors Hide in Router Firmware,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-270a,Cybersecurity Advisory | AA23-270A,,
2023-05-24,People's Republic of China State-Sponsored Cyber Actor Living off the Land to Evade Detection,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-144a,Cybersecurity Advisory | AA23-144A,https://www.cisa.gov/sites/default/files/2023-11/CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1_ES-US.pdf,CHN_CSA_PRC_State_Sponsored_Cyber_Living_off_the_Land_v1.1_ES-US.pdf
2022-10-06,Top CVEs Actively Exploited By People’s Republic of China State-Sponsored Cyber Actors,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-279a,Cybersecurity Advisory | AA22-279A,,
2022-06-07,People’s Republic of China State-Sponsored Cyber Actors Exploit Network Providers and Devices,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-158a,Cybersecurity Advisory | AA22-158A,,
2021-07-20,"Chinese Gas Pipeline Intrusion Campaign, 2011 to 2013",https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-201a,Cybersecurity Advisory | AA21-201A,https://www.cisa.gov/sites/default/files/publications/AA21-201A_Chinese_Gas_Pipeline_Intrusion_Campaign_2011_to_2013%20(1).pdf,CHN_AA21-201A_Chinese_Gas_Pipeline_Intrusion_Campaign_2011_to_2013 (1).pdf
2021-07-19,"Tactics, Techniques, and Procedures of Indicted APT40 Actors Associated with China’s MSS Hainan State Security Department",https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-200a,Cybersecurity Advisory | AA21-200A,https://www.cisa.gov/sites/default/files/publications/CSA_TTPs-of-Indicted-APT40-Actors-Associated-with-China-MSS-Hainan-State-Security-Department.pdf,CHN_CSA_TTPs-of-Indicted-APT40-Actors-Associated-with-China-MSS-Hainan-State-Security-Department.pdf
2021-07-19,Chinese State-Sponsored Cyber Operations: Observed TTPs,https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-200b,Cybersecurity Advisory | AA21-200B,,
2021-03-03,Mitigate Microsoft Exchange Server Vulnerabilities,https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-062a,Cybersecurity Advisory | AA21-062A,,
2020-10-01,Potential for China Cyber Response to Heightened U.S.–China Tensions,https://www.cisa.gov/news-events/cybersecurity-advisories/aa20-275a,Cybersecurity Advisory | AA20-275A,,
2020-09-14,Chinese Ministry of State Security-Affiliated Cyber Threat Actor Activity,https://www.cisa.gov/news-events/cybersecurity-advisories/aa20-258a,Cybersecurity Advisory | AA20-258A,,
