data,titolo,link,meta,pdf_url,pdf_locale
2024-10-16,Iranian Cyber Actors’ Brute Force and Credential Access Activity Compromises Critical Infrastructure Organizations,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-290a,Cybersecurity Advisory | AA24-290A,https://www.cisa.gov/sites/default/files/2024-10/aa24-290a-iranian-cyber-actors-conduct-brute-force-and-credential-access-activity.pdf,IRN_aa24-290a-iranian-cyber-actors-conduct-brute-force-and-credential-access-activity.pdf
2024-08-28,Iran-based Cyber Actors Enabling Ransomware Attacks on US Organizations,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-241a,Cybersecurity Advisory | AA24-241A,https://www.cisa.gov/sites/default/files/2024-08/aa24-241a-iran-based-cyber-actors-enabling-ransomware-attacks-on-us-organizations_0.pdf,IRN_aa24-241a-iran-based-cyber-actors-enabling-ransomware-attacks-on-us-organizations_0.pdf
2023-12-01,"IRGC-Affiliated Cyber Actors Exploit PLCs in Multiple Sectors, Including US Water and Wastewater Systems Facilities",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-335a,Cybersecurity Advisory | AA23-335A,https://www.cisa.gov/sites/default/files/2024-12/aa23-335a-irgc-affiliated-cyber-actors-exploit-plcs-in-multiple-sectors.pdf,IRN_aa23-335a-irgc-affiliated-cyber-actors-exploit-plcs-in-multiple-sectors.pdf
2022-11-16,"Iranian Government-Sponsored APT Actors Compromise Federal Network, Deploy Crypto Miner, Credential Harvester",https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-320a,Cybersecurity Advisory | AA22-320A,https://www.cisa.gov/sites/default/files/publications/aa22-320a_joint_csa_iranian_government-sponsored_apt_actors_compromise_federal%20network_deploy_crypto%20miner_credential_harvester.pdf,IRN_aa22-320a_joint_csa_iranian_government-sponsored_apt_actors_compromise_federal network_deploy_crypto miner_credential_harvester.pdf
2022-09-21,Iranian State Actors Conduct Cyber Operations Against the Government of Albania,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a,Cybersecurity Advisory | AA22-264A,https://www.cisa.gov/sites/default/files/publications/aa22-264a-iranian-cyber-actors-conduct-cyber-operations-against-the-government-of-albania.pdf,IRN_aa22-264a-iranian-cyber-actors-conduct-cyber-operations-against-the-government-of-albania.pdf
2022-09-14,Iranian Islamic Revolutionary Guard Corps-Affiliated Cyber Actors Exploiting Vulnerabilities for Data Extortion and Disk Encryption for Ransom Operations,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-257a,Cybersecurity Advisory | AA22-257A,https://www.cisa.gov/sites/default/files/publications/aa22-257a-iranian-islamic-revolutionary-guard-corps-affiliated-cyber-actors.pdf,IRN_aa22-257a-iranian-islamic-revolutionary-guard-corps-affiliated-cyber-actors.pdf
2022-02-24,Iranian Government-Sponsored Actors Conduct Cyber Operations Against Global Government and Commercial Networks,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a,Cybersecurity Advisory | AA22-055A,https://www.cisa.gov/sites/default/files/publications/AA22-055A_Iranian_Government-Sponsored_Actors_Conduct_Cyber_Operations.pdf,IRN_AA22-055A_Iranian_Government-Sponsored_Actors_Conduct_Cyber_Operations.pdf
2022-02-24,MAR–10369127–1.v1 – MuddyWater,https://www.cisa.gov/news-events/analysis-reports/ar22-055a,Analysis Report | AR22-055A,https://www.cisa.gov/sites/default/files/publications/MAR-10369127-1.v1%20MuddyWater.pdf,IRN_MAR-10369127-1.v1 MuddyWater.pdf
2021-11-17,Iranian Government-Sponsored APT Cyber Actors Exploiting Microsoft Exchange and Fortinet Vulnerabilities in Furtherance of Malicious Activities,https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-321a,Cybersecurity Advisory | AA21-321A,https://www.cisa.gov/sites/default/files/publications/AA21-321A-Iranian%20Government-Sponsored%20APT%20Actors%20Exploiting%20Vulnerabilities_1.pdf,IRN_AA21-321A-Iranian Government-Sponsored APT Actors Exploiting Vulnerabilities_1.pdf
2020-09-15,MAR-10297887-1.v2 – Iranian Web Shells,https://www.cisa.gov/news-events/analysis-reports/ar20-259a,Analysis Report | AR20-259A,,
2020-09-15,Iran-Based Threat Actor Exploits VPN Vulnerabilities,https://www.cisa.gov/news-events/cybersecurity-advisories/aa20-259a,Cybersecurity Advisory | AA20-259A,,
2020-01-06,Release of New CISA Insights on Increased Geopolitical Tensions and Threats,https://www.cisa.gov/news-events/alerts/2020/01/06/release-new-cisa-insights-increased-geopolitical-tensions-and-threats,Alert,,
2020-01-06,Potential for Iranian Cyber Response to U.S. Military Strike in Baghdad,https://www.cisa.gov/news-events/cybersecurity-advisories/aa20-006a,Cybersecurity Advisory | AA20-006A,,
