data,titolo,link,meta,pdf_url,pdf_locale
2024-09-05,Russian Military Cyber Actors Target US and Global Critical Infrastructure,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-249a,Cybersecurity Advisory | AA24-249A,https://www.cisa.gov/sites/default/files/2024-09/aa24-249a-russian-military-cyber-actors-target-us-and-global-critical-infrastructure.pdf,RUS_aa24-249a-russian-military-cyber-actors-target-us-and-global-critical-infrastructure.pdf
2024-02-26,SVR Cyber Actors Adapt Tactics for Initial Cloud Access,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-057a,Cybersecurity Advisory | AA24-057A,,
2023-12-13,Russian Foreign Intelligence Service (SVR) Exploiting JetBrains TeamCity CVE Globally,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-347a,Cybersecurity Advisory | AA23-347A,https://www.cisa.gov/sites/default/files/2023-12/aa23-347a-russian-foreign-intelligence-service-svr-exploiting-jetbrains-teamcity-cve-globally_0.pdf,RUS_aa23-347a-russian-foreign-intelligence-service-svr-exploiting-jetbrains-teamcity-cve-globally_0.pdf
2023-12-07,Russian FSB Cyber Actor Star Blizzard Continues Worldwide Spearphishing Campaigns,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-341a,Cybersecurity Advisory | AA23-341A,,
2023-05-09,Hunting Russian Intelligence “Snake” Malware,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a,Cybersecurity Advisory | AA23-129A,https://www.cisa.gov/sites/default/files/2023-05/aa23-129a_snake_malware_2.pdf,RUS_aa23-129a_snake_malware_2.pdf
2023-04-18,APT28 Exploits Known Vulnerability to Carry Out Reconnaissance and Deploy Malware on Cisco Routers,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-108,Cybersecurity Advisory | AA23-108,https://www.cisa.gov/sites/default/files/2023-04/apt28-exploits-known-vulnerability-to-carry-out-reconnaissance-and-deploy-malware-on-cisco-routers-uk.pdf,RUS_apt28-exploits-known-vulnerability-to-carry-out-reconnaissance-and-deploy-malware-on-cisco-routers-uk.pdf
2022-04-20,Russian State-Sponsored and Criminal Cyber Threats to Critical Infrastructure,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-110a,Cybersecurity Advisory | AA22-110A,https://www.cisa.gov/sites/default/files/publications/AA22-110A_Joint_CSA_Russian_State-Sponsored_and_Criminal_Cyber_Threats_to_Critical_Infrastructure_4_20_22_Final.pdf,RUS_AA22-110A_Joint_CSA_Russian_State-Sponsored_and_Criminal_Cyber_Threats_to_Critical_Infrastructure_4_20_22_Final.pdf
2022-03-24,"Tactics, Techniques, and Procedures of Indicted State-Sponsored Russian Cyber Actors Targeting the Energy Sector",https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-083a,Cybersecurity Advisory | AA22-083A,https://www.cisa.gov/sites/default/files/publications/AA22-083A_TTPs_of_Indicted_State-Sponsored_Russian_Cyber_Actors_Targeting_the_Energy_Sector.pdf,RUS_AA22-083A_TTPs_of_Indicted_State-Sponsored_Russian_Cyber_Actors_Targeting_the_Energy_Sector.pdf
2022-03-17,Strengthening Cybersecurity of SATCOM Network Providers and Customers,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-076a,Cybersecurity Advisory | AA22-076A,https://www.cisa.gov/sites/default/files/publications/AA22-076_Strengthening_Cybersecurity_of_SATCOM_Network_Providers_and_Customers.pdf,RUS_AA22-076_Strengthening_Cybersecurity_of_SATCOM_Network_Providers_and_Customers.pdf
2022-03-15,Russian State-Sponsored Cyber Actors Gain Network Access by Exploiting Default Multifactor Authentication Protocols and “PrintNightmare” Vulnerability,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-074a,Cybersecurity Advisory | AA22-074A,https://www.cisa.gov/sites/default/files/publications/AA22-074A_Russian_State-Sponsored_Cyber_Actors_Gain_Network_Access_by_Exploiting_Default_MFA_and_PrintNightmare.pdf,RUS_AA22-074A_Russian_State-Sponsored_Cyber_Actors_Gain_Network_Access_by_Exploiting_Default_MFA_and_PrintNightmare.pdf
2022-02-26,Update: Destructive Malware Targeting Organizations in Ukraine,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-057a,Cybersecurity Advisory | AA22-057A,https://www.cisa.gov/sites/default/files/publications/AA22-057A_Destructive_Malware_Targeting_Organizations_in_Ukraine.pdf,RUS_AA22-057A_Destructive_Malware_Targeting_Organizations_in_Ukraine.pdf
