titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
Leafminer,,Iran (Islamic Republic of),"Afghanistan, Azerbaijan, Bahrain, Egypt, Iran (Islamic Republic of), Israel, Qatar, Saudi Arabia, United Arab Emirates",vittima,,da_estrarre_con_llm,"This threat actor targets government organizations and entities in the financial, petrochemical, and transportation sectors for espionage purposes.",https://www.cfr.org/cyber-operations/leafminer
APT-C-23,,"Palestine, State of",Israel,vittima,,da_estrarre_con_llm,Previously targeted Israeli soldiers by pretending to be women looking for romantic partners.,https://www.cfr.org/cyber-operations/apt-c-23
Agrius,,Iran (Islamic Republic of),Israel,vittima,,da_estrarre_con_llm,"Agrius is an Iranian threat actor which has consistently been observed targeting Israeli networks. The group has frequently deployed wipers disguised as ransomware on networks, with the goal of destroying data and disrupting operations. Also known as BlackShadow, Americium, Pink Sandstorm, and DEV-0227.",https://www.cfr.org/cyber-operations/agrius
Storm-842,Espionage,Iran (Islamic Republic of),"Albania, Israel",vittima,,da_estrarre_con_llm,"Void Manticore is an Iranian threat actor affiliated with the ministry of intelligence and security. Known to conduct data destruction and espionage attacks, it has been identified in attacks against Albania and Israel.",https://www.cfr.org/cyber-operations/storm-842
Targeting of Israeli organizations,Data destruction,Iran (Islamic Republic of),Israel,vittima,,da_estrarre_con_llm,"Cybersecurity company Check Point Research identified Storm-842 (Void Manticore) for using a custom wiper known as the BiBi wiper, after Israeli Prime Minister Benjamin Netanyahu. The group is known to collaborate with Scarred Manticore, another Iran-sponsored threat actor.",https://www.cfr.org/cyber-operations/targeting-of-israeli-organizations
"Targeting of telecommunications firms and government agencies in Israel, Turkey, and Africa",Espionage,Iran (Islamic Republic of),"Egypt, Israel, Turkey",vittima,,da_estrarre_con_llm,"MuddyWater APT, an Iranian threat actor, launched attacks in February 2024, gaining administrator privileges to upload, extract, monitor, and execute files. Identified by the National Cyber Directorate of Israel in March 2024, the group has been targeting entities aligned with Iran’s political interests.",https://www.cfr.org/cyber-operations/targeting-of-telecommunications-firms-and-government-agencies-in-israel-turkey-and-africa
Targeting of Israeli education and technology sectors,Data destruction,Iran (Islamic Republic of),Israel,vittima,,da_estrarre_con_llm,"Agrius, an Iranian threat actor, broke into the networks of Israeli education and technology companies, stole intellectual property, and then deployed wipers on the affected systems to cover their tracks. The attacks began in January 2023 and lasted until at least October 2023.",https://www.cfr.org/cyber-operations/targeting-of-israeli-education-and-technology-sectors
Targeting of government employees and researchers,Espionage,Iran (Islamic Republic of),Israel,vittima,,da_estrarre_con_llm,An Iranian threat actor used LinkedIn to target Israeli government officials and researchers.,https://www.cfr.org/cyber-operations/targeting-of-government-employees-and-researchers
"Targeting of organizations in Brazil, Israel, and the United Arab Emirates",Espionage,Iran (Islamic Republic of),"Brazil, Israel, United Arab Emirates",vittima,,da_estrarre_con_llm,"APT 35 deployed a new backdoor, dubbed Sponsor, against organizations in Brazil, Israel, and the United Arab Emirates. APT 35 appears to have tried to gain access to a wide variety of systems, which suggests that the campaign was aimed at gathering intelligence widely, rather than attacking a specific organization.",https://www.cfr.org/cyber-operations/targeting-of-organizations-in-brazil-israel-and-the-united-arab-emirates
Targeting of users of Israeli shipping and logistics websites,Espionage,Iran (Islamic Republic of),Israel,vittima,,da_estrarre_con_llm,"An Iranian threat actor perpetrated a watering hole attack using eight Israeli websites. The websites belonged to companies from the shipping, logistics, and financial services industries.",https://www.cfr.org/cyber-operations/targeting-of-users-of-israeli-shipping-and-logistics-websites
