titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
APT 28,,Russian Federation,"Afghanistan, Armenia, Belgium, Canada, China, France, Georgia, Germany, Hungary, Japan, Jordan, Kazakhstan, Mongolia, Pakistan, Poland, Tajikistan, Turkey, Ukraine, United Kingdom, United States",vittima,2014-10-28,archivio_cfr_2019,"This threat actor is linked to espionage campaigns, high-profile doxing efforts, and disruptive incidents that compromised targets believed to be of interest to the Russian government.",https://www.cfr.org/cyber-operations/apt-28
Targeting of Russian aerospace and defense conglomerate,Denial of service,Ukraine,Russian Federation,attore,,da_estrarre_con_llm,Hackers targeted the Russian state-owned aerospace and defense conglomerate Rostec with a DDoS attack on its website. The website was taken down briefly before being returned to service. Rostec blamed the incident on Ukrainian “radicals” who are likely part of the IT Army.,https://www.cfr.org/cyber-operations/targeting-of-russian-aerospace-and-defense-conglomerate
UAC-0188,Espionage,Russian Federation,"Ukraine, United States",vittima,,da_estrarre_con_llm,UAC-0188 is a Russian threat actor that has been previously observed deploying malware on U.S. and European financial and insurance institutions.,https://www.cfr.org/cyber-operations/uac-0188
FlyingYeti,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,FlyingYeti is a threat actor known primarily for targeting Ukrainian military entities but has also targeted Ukrainian citizens with phishing lures that capitalize on anxiety over potential housing loss.,https://www.cfr.org/cyber-operations/flyingyeti
Targeting of Ukrainian citizens who were concerned about facing loss of housing in Ukraine,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Cloudfare’s security team identified a phishing campaign using Cloudflare Workers (a Cloudfare product) and GitHub. FlyingYeti distributed files that ostensibly helped users adapt to the end of a Ukrainian moratorium on evictions and termination of utility services, but which really installed malware on the target system.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-citizens-who-were-concerned-about-facing-loss-of-housing-in-ukraine
Targeting of Ukrainian telecommunications operator Kyivstar,Data destruction,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Kyivstar, a mobile-phone network that serves over twenty-four million people in Ukraine, was hit by a cyberattack that knocked its entire network offline. Solntsepek, a hacktivist group associated with the Russian threat actor Sandworm, claimed responsibility for the attack.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-telecommunications-operator-kyivstar
Targeting of Polish government organizations with Follina vulnerability,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"In 2022, APT 28 distributed malicious files claiming to provide an update on potential nuclear terrorism, which utilized the Follina vulnerability in the Microsoft support tool to break into the victim’s system. Ukraine’s cybersecurity agency reported on a similar campaign in 2022.",https://www.cfr.org/cyber-operations/targeting-of-polish-government-organizations-with-follina-vulnerability
Targeting of Ukrainian power grid,Data destruction,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"In October 2022, Sandworm deployed a new variant of CaddyWiper on the industrial control systems of a Ukrainian power plant. The attack caused power outages across Ukraine and occurred on the same day as missile strikes on power infrastructure.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-power-grid
"Targeting of French think tanks, government agencies, universities, and businesses",Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,The National Cybersecurity Agency of France (ANSSI) said it had found APT 28 had established a presence on various networks in France since at least 2021 and was leveraging that access to steal emails and information about the compromised systems.,https://www.cfr.org/cyber-operations/targeting-of-french-think-tanks-government-agencies-universities-and-businesses
Targeting of Ukrainian telecommunications providers,Sabotage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"Russian threat actor Sandworm attacked the networks of at least eleven telecommunications providers in Ukraine, which led to disruptions in service for some customers.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-telecommunications-providers
Targeting of foreign embassies in Kyiv,Espionage,Russian Federation,Ukraine,vittima,,da_estrarre_con_llm,"The Dukes were observed sending phishing emails to various foreign embassies in Kyiv, Ukraine, after the start of Ukraine’s counteroffensive in June 2023. The campaign appears aimed at gathering intelligence on foreign sentiment toward Ukraine.",https://www.cfr.org/cyber-operations/targeting-of-foreign-embassies-in-kyiv
