year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,37,China,CHI,CHN,3,Albania,ALB,ALB,12,0,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,8,Egypt,ARE,EGY,0,69,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,9,Argentina,ARG,ARG,0,103,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,11,Australia,AUL,AUS,2304,13647,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,12,Austria,AUS,AUT,610,218,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,17,Belgium,BEL,BEL,1197,60,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,27,Brazil,BRA,BRA,7,3379,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,30,Bulgaria,BUL,BGR,0,15,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,33,Canada,CAN,CAN,7192,2378,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,45,Costa Rica,COS,CRI,0,11,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,48,Cyprus,CYP,CYP,5,7,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,49,Czechia,CZE,CZE,20,0,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,50,Denmark,DEN,DNK,16,0,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,54,Ecuador,ECU,ECU,12,0,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,61,Finland,FIN,FIN,125,11,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,64,France,FRA,FRA,5810,964,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,1465,952,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,72,Germany,GFR,DEU,1620,972,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,76,Greece,GRE,GRC,71,590,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,85,Hungary,HUN,HUN,5,0,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,86,Iceland,ICE,ISL,5,0,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,88,India,IND,IND,108008,0,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,89,Indonesia,INS,IDN,12,5,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,90,Ireland,IRE,IRL,54,86,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,93,Israel,ISR,ISR,0,55,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,94,Italy,ITA,ITA,184,844,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,97,Japan,JPN,JPN,73,0,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,98,Kazakhstan,KAZ,KAZ,0,12,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,100,Kyrgyzstan,KGZ,KGZ,0,5,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,102,Rep. of Korea,KOR,KOR,43,1620,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,111,Liechtenstein,LIE,LIE,28,6,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,114,Luxembourg,LUX,LUX,5,0,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,119,Mauritania,MAU,MRT,0,6,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,124,Mexico,MEX,MEX,5,5,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,127,Malaysia,MLS,MYS,27,14,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,132,Malta,MTA,MLT,17,0,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,138,Netherlands (Kingdom of the),NET,NLD,1106,122,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,143,Norway,NOR,NOR,594,10,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,145,New Zealand,NZL,NZL,192,77,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,150,Peru,PER,PER,0,8,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,151,Philippines,PHI,PHL,5,5,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,154,Poland,POL,POL,18,0,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,159,South Africa,RSA,ZAF,0,134,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,160,Russian Federation,RUS,RUS,5,0,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,163,Saudi Arabia,SAU,SAU,14,14,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,173,Spain,SPA,ESP,20,600,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,180,Slovakia,SVK,SVK,5,0,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,183,Sweden,SWE,SWE,282,69,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,184,Switzerland,SWI,CHE,2957,274,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,188,Thailand,THA,THA,186,14,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,196,Türkiye,TUR,TUR,13,417,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,200,Ukraine,UKR,UKR,0,12,0,0,0,0,0,-,0
2018,37,China,CHI,CHN,202,United States of America,USA,USA,77710,66561,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,3,Albania,ALB,ALB,12,0,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,8,Egypt,ARE,EGY,0,71,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,9,Argentina,ARG,ARG,0,121,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,11,Australia,AUL,AUS,2016,17668,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,12,Austria,AUS,AUT,651,157,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,17,Belgium,BEL,BEL,1283,17,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,27,Brazil,BRA,BRA,9,4616,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,30,Bulgaria,BUL,BGR,0,15,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,33,Canada,CAN,CAN,6060,2873,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,45,Costa Rica,COS,CRI,0,152,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,48,Cyprus,CYP,CYP,5,9,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,49,Czechia,CZE,CZE,30,43,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,50,Denmark,DEN,DNK,19,5,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,54,Ecuador,ECU,ECU,12,0,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,61,Finland,FIN,FIN,179,21,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,64,France,FRA,FRA,6918,1269,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,1389,1689,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,71,Georgia,GEO,GEO,0,5,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,72,Germany,GFR,DEU,1760,943,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,76,Greece,GRE,GRC,85,529,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,85,Hungary,HUN,HUN,5,0,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,88,India,IND,IND,108008,0,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,89,Indonesia,INS,IDN,12,5,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,90,Ireland,IRE,IRL,63,91,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,93,Israel,ISR,ISR,0,235,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,94,Italy,ITA,ITA,241,499,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,97,Japan,JPN,JPN,56,0,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,98,Kazakhstan,KAZ,KAZ,0,12,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,102,Rep. of Korea,KOR,KOR,44,2606,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,111,Liechtenstein,LIE,LIE,27,9,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,114,Luxembourg,LUX,LUX,5,0,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,119,Mauritania,MAU,MRT,5,5,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,124,Mexico,MEX,MEX,5,5,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,127,Malaysia,MLS,MYS,44,7,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,129,Mongolia,MNG,MNG,0,5,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,132,Malta,MTA,MLT,17,0,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,138,Netherlands (Kingdom of the),NET,NLD,1004,153,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,143,Norway,NOR,NOR,565,5,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,145,New Zealand,NZL,NZL,228,74,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,147,Pakistan,PAK,PAK,5,15,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,150,Peru,PER,PER,0,12,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,151,Philippines,PHI,PHL,5,5,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,154,Poland,POL,POL,21,6,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,155,Portugal,POR,PRT,0,7,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,159,South Africa,RSA,ZAF,0,87,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,163,Saudi Arabia,SAU,SAU,14,14,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,173,Spain,SPA,ESP,20,1010,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,180,Slovakia,SVK,SVK,5,0,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,183,Sweden,SWE,SWE,285,78,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,184,Switzerland,SWI,CHE,2825,207,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,188,Thailand,THA,THA,174,14,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,194,Trinidad and Tobago,TRT,TTO,0,79,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,200,Ukraine,UKR,UKR,0,6,0,0,0,0,0,-,0
2019,37,China,CHI,CHN,202,United States of America,USA,USA,78752,68794,0,0,0,0,0,-,0
2020,37,China,CHI,CHN,3,Albania,ALB,ALB,14,0,0,0,0,0,0,-,0
2020,37,China,CHI,CHN,8,Egypt,ARE,EGY,0,71,0,0,0,0,0,-,0
2020,37,China,CHI,CHN,9,Argentina,ARG,ARG,0,120,0,0,0,0,0,-,0
2020,37,China,CHI,CHN,11,Australia,AUL,AUS,1780,16811,0,0,0,0,0,-,0
2020,37,China,CHI,CHN,12,Austria,AUS,AUT,660,97,0,0,0,0,0,-,0
2020,37,China,CHI,CHN,17,Belgium,BEL,BEL,1151,60,0,0,0,0,0,-,0
2020,37,China,CHI,CHN,27,Brazil,BRA,BRA,11,5143,0,0,0,0,0,-,0
2020,37,China,CHI,CHN,29,Bosnia and Herzegovina,BSN,BIH,0,0,0,0,0,0,6,-,0
