year,coa_name,refugees
2018,India,108008
2018,United States of America,77710
2018,Canada,7192
2019,India,108008
2019,United States of America,78752
2019,France,6918
2020,United States of America,74948
2020,India,73407
2020,France,8343
2021,India,73407
2021,United States of America,68937
2021,France,10015
2022,India,72294
2022,United States of America,64066
2022,France,11161
2023,India,73406
2023,United States of America,61378
2023,France,12217
2024,India,63169
2024,United States of America,60044
2024,France,14101
