year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,57,Estonia,EST,EST,33,Canada,CAN,CAN,5,0,0,0,0,0,0,-,0
2018,57,Estonia,EST,EST,64,France,FRA,FRA,7,0,0,0,0,0,0,-,0
2018,57,Estonia,EST,EST,72,Germany,GFR,DEU,5,0,0,0,0,0,0,-,0
2018,57,Estonia,EST,EST,202,United States of America,USA,USA,264,37,0,0,0,0,0,-,0
2019,57,Estonia,EST,EST,33,Canada,CAN,CAN,5,5,0,0,0,0,0,-,0
2019,57,Estonia,EST,EST,64,France,FRA,FRA,5,0,0,0,0,0,0,-,0
2019,57,Estonia,EST,EST,72,Germany,GFR,DEU,5,0,0,0,0,0,0,-,0
2019,57,Estonia,EST,EST,159,South Africa,RSA,ZAF,5,12,0,0,0,0,0,-,0
2019,57,Estonia,EST,EST,202,United States of America,USA,USA,254,38,0,0,0,0,0,-,0
2020,57,Estonia,EST,EST,33,Canada,CAN,CAN,5,0,0,0,0,0,0,-,0
2020,57,Estonia,EST,EST,64,France,FRA,FRA,5,0,0,0,0,0,0,-,0
2020,57,Estonia,EST,EST,72,Germany,GFR,DEU,5,0,0,0,0,0,0,-,0
2020,57,Estonia,EST,EST,159,South Africa,RSA,ZAF,5,7,0,0,0,0,0,-,0
2020,57,Estonia,EST,EST,160,Russian Federation,RUS,RUS,5,0,0,0,0,0,0,-,0
2020,57,Estonia,EST,EST,202,United States of America,USA,USA,252,36,0,0,0,0,0,-,0
2021,57,Estonia,EST,EST,33,Canada,CAN,CAN,6,5,0,0,0,0,0,-,0
2021,57,Estonia,EST,EST,64,France,FRA,FRA,5,0,0,0,0,0,0,-,0
2021,57,Estonia,EST,EST,159,South Africa,RSA,ZAF,5,6,0,0,0,0,0,-,0
2021,57,Estonia,EST,EST,160,Russian Federation,RUS,RUS,5,0,0,0,0,0,0,-,0
2021,57,Estonia,EST,EST,202,United States of America,USA,USA,250,37,0,0,0,0,0,-,0
2022,57,Estonia,EST,EST,11,Australia,AUL,AUS,0,5,0,0,0,0,0,-,0
2022,57,Estonia,EST,EST,72,Germany,GFR,DEU,5,0,0,0,0,0,0,-,0
2022,57,Estonia,EST,EST,159,South Africa,RSA,ZAF,5,0,0,0,0,0,0,-,0
2022,57,Estonia,EST,EST,160,Russian Federation,RUS,RUS,5,0,0,0,0,0,0,-,0
2022,57,Estonia,EST,EST,173,Spain,SPA,ESP,5,0,0,0,0,0,0,-,0
2022,57,Estonia,EST,EST,202,United States of America,USA,USA,25,56,0,0,0,0,0,-,0
2023,57,Estonia,EST,EST,11,Australia,AUL,AUS,5,5,0,0,0,0,0,-,0
2023,57,Estonia,EST,EST,17,Belgium,BEL,BEL,5,0,0,0,0,0,0,-,0
2023,57,Estonia,EST,EST,72,Germany,GFR,DEU,5,0,0,0,0,0,0,-,0
2023,57,Estonia,EST,EST,159,South Africa,RSA,ZAF,5,0,0,0,0,0,0,-,0
2023,57,Estonia,EST,EST,160,Russian Federation,RUS,RUS,15,5,0,0,0,0,0,-,0
2023,57,Estonia,EST,EST,202,United States of America,USA,USA,25,48,0,0,0,0,0,-,0
2024,57,Estonia,EST,EST,11,Australia,AUL,AUS,0,8,0,0,0,0,0,-,0
2024,57,Estonia,EST,EST,17,Belgium,BEL,BEL,5,0,0,0,0,0,0,-,0
2024,57,Estonia,EST,EST,33,Canada,CAN,CAN,5,0,0,0,0,0,0,-,0
2024,57,Estonia,EST,EST,72,Germany,GFR,DEU,5,0,0,0,0,0,0,-,0
2024,57,Estonia,EST,EST,143,Norway,NOR,NOR,5,0,0,0,0,0,0,-,0
2024,57,Estonia,EST,EST,159,South Africa,RSA,ZAF,5,5,0,0,0,0,0,-,0
2024,57,Estonia,EST,EST,160,Russian Federation,RUS,RUS,45,5,0,0,0,0,0,-,0
2024,57,Estonia,EST,EST,183,Sweden,SWE,SWE,31,0,0,0,0,0,0,-,0
2024,57,Estonia,EST,EST,202,United States of America,USA,USA,25,44,0,0,0,0,0,-,0
