year,coa_name,refugees
2018,United States of America,264
2018,France,7
2018,Canada,5
2019,United States of America,254
2019,South Africa,5
2019,Germany,5
2020,United States of America,252
2020,Russian Federation,5
2020,South Africa,5
2021,United States of America,250
2021,Canada,6
2021,Russian Federation,5
2022,United States of America,25
2022,Russian Federation,5
2022,Spain,5
2023,United States of America,25
2023,Russian Federation,15
2023,South Africa,5
2024,Russian Federation,45
2024,Sweden,31
2024,United States of America,25
