year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,91,Iran (Islamic Rep. of),IRN,IRN,2,Afghanistan,AFG,AFG,34,9,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,3,Albania,ALB,ALB,12,5,0,0,0,0,76,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,9,Argentina,ARG,ARG,23,5,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,10,Armenia,ARM,ARM,36,41,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,11,Australia,AUL,AUS,10702,4699,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,12,Austria,AUS,AUT,5772,2490,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,13,Azerbaijan,AZE,AZE,43,9,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,17,Belgium,BEL,BEL,960,470,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,24,Belarus,BLR,BLR,6,0,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,27,Brazil,BRA,BRA,64,159,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,29,Bosnia and Herzegovina,BSN,BIH,0,316,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,30,Bulgaria,BUL,BGR,64,84,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,33,Canada,CAN,CAN,2538,2547,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,39,Cameroon,CMR,CMR,5,0,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,45,Costa Rica,COS,CRI,5,0,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,46,Cuba,CUB,CUB,17,12,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,48,Cyprus,CYP,CYP,550,266,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,49,Czechia,CZE,CZE,8,8,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,50,Denmark,DEN,DNK,3253,295,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,54,Ecuador,ECU,ECU,41,37,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,57,Estonia,EST,EST,0,5,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,61,Finland,FIN,FIN,871,228,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,64,France,FRA,FRA,2757,647,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,17231,3276,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,71,Georgia,GEO,GEO,34,183,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,72,Germany,GFR,DEU,41150,21407,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,76,Greece,GRE,GRC,1532,1935,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,83,Honduras,HON,HND,5,0,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,84,Croatia,HRV,HRV,22,48,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,85,Hungary,HUN,HUN,176,8,0,0,0,0,0,-,0
2018,91,Iran (Islamic Rep. of),IRN,IRN,86,Iceland,ICE,ISL,46,33,0,0,0,0,0,-,0
