year,coa_name,refugees
2018,Germany,41150
2018,United Kingdom of Great Britain and Northern Ireland,17231
2018,Australia,10702
2019,Germany,43244
2019,United Kingdom of Great Britain and Northern Ireland,19744
2019,Australia,11866
2020,Germany,44965
2020,United Kingdom of Great Britain and Northern Ireland,20433
2020,Australia,12606
2021,Germany,46223
2021,United Kingdom of Great Britain and Northern Ireland,21434
2021,Australia,12701
2022,Germany,25452
2022,United Kingdom of Great Britain and Northern Ireland,22707
2022,Australia,12023
2023,Germany,48224
2023,United Kingdom of Great Britain and Northern Ireland,31741
2023,Canada,9754
2024,Germany,47068
2024,United Kingdom of Great Britain and Northern Ireland,37779
2024,Canada,11447
