year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,93,Israel,ISR,ISR,11,Australia,AUL,AUS,12,20,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,12,Austria,AUS,AUT,11,5,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,17,Belgium,BEL,BEL,13,0,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,27,Brazil,BRA,BRA,0,30,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,33,Canada,CAN,CAN,207,63,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,45,Costa Rica,COS,CRI,0,5,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,64,France,FRA,FRA,7,0,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,6,5,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,72,Germany,GFR,DEU,41,36,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,90,Ireland,IRE,IRL,5,5,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,94,Italy,ITA,ITA,7,5,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,143,Norway,NOR,NOR,11,0,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,183,Sweden,SWE,SWE,29,27,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,184,Switzerland,SWI,CHE,5,5,0,0,0,0,0,-,0
2018,93,Israel,ISR,ISR,202,United States of America,USA,USA,138,477,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,11,Australia,AUL,AUS,10,21,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,12,Austria,AUS,AUT,12,0,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,17,Belgium,BEL,BEL,5,0,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,27,Brazil,BRA,BRA,0,33,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,33,Canada,CAN,CAN,190,70,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,45,Costa Rica,COS,CRI,0,5,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,64,France,FRA,FRA,7,0,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,7,10,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,72,Germany,GFR,DEU,39,41,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,90,Ireland,IRE,IRL,5,0,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,94,Italy,ITA,ITA,9,0,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,143,Norway,NOR,NOR,8,0,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,173,Spain,SPA,ESP,0,10,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,183,Sweden,SWE,SWE,25,20,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,184,Switzerland,SWI,CHE,5,0,0,0,0,0,0,-,0
2019,93,Israel,ISR,ISR,202,United States of America,USA,USA,130,480,0,0,0,0,0,-,0
2020,93,Israel,ISR,ISR,11,Australia,AUL,AUS,9,21,0,0,0,0,0,-,0
2020,93,Israel,ISR,ISR,12,Austria,AUS,AUT,10,0,0,0,0,0,0,-,0
2020,93,Israel,ISR,ISR,17,Belgium,BEL,BEL,0,5,0,0,0,0,0,-,0
2020,93,Israel,ISR,ISR,27,Brazil,BRA,BRA,0,33,0,0,0,0,0,-,0
2020,93,Israel,ISR,ISR,33,Canada,CAN,CAN,134,56,0,0,0,0,0,-,0
2020,93,Israel,ISR,ISR,45,Costa Rica,COS,CRI,0,5,0,0,0,0,0,-,0
2020,93,Israel,ISR,ISR,64,France,FRA,FRA,8,0,0,0,0,0,0,-,0
2020,93,Israel,ISR,ISR,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,7,16,0,0,0,0,0,-,0
2020,93,Israel,ISR,ISR,72,Germany,GFR,DEU,40,26,0,0,0,0,0,-,0
2020,93,Israel,ISR,ISR,90,Ireland,IRE,IRL,12,0,0,0,0,0,0,-,0
2020,93,Israel,ISR,ISR,143,Norway,NOR,NOR,8,0,0,0,0,0,0,-,0
2020,93,Israel,ISR,ISR,173,Spain,SPA,ESP,0,15,0,0,0,0,0,-,0
