year,coa_name,refugees
2018,Canada,207
2018,United States of America,138
2018,Germany,41
2019,Canada,190
2019,United States of America,130
2019,Germany,39
2020,Canada,134
2020,United States of America,115
2020,Germany,40
2021,Canada,125
2021,United Kingdom of Great Britain and Northern Ireland,120
2021,United States of America,97
2022,Rep. of Moldova,179
2022,United Kingdom of Great Britain and Northern Ireland,121
2022,Germany,117
2023,Germany,163
2023,United Kingdom of Great Britain and Northern Ireland,121
2023,United States of America,104
2024,Germany,171
2024,United Kingdom of Great Britain and Northern Ireland,129
2024,Canada,122
