year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,102,Rep. of Korea,KOR,KOR,11,Australia,AUL,AUS,40,164,0,0,0,0,0,-,0
2018,102,Rep. of Korea,KOR,KOR,27,Brazil,BRA,BRA,0,119,0,0,0,0,0,-,0
2018,102,Rep. of Korea,KOR,KOR,33,Canada,CAN,CAN,98,20,0,0,0,0,0,-,0
2018,102,Rep. of Korea,KOR,KOR,38,Chile,CHL,CHL,0,5,0,0,0,0,0,-,0
2018,102,Rep. of Korea,KOR,KOR,64,France,FRA,FRA,0,7,0,0,0,0,0,-,0
2018,102,Rep. of Korea,KOR,KOR,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,6,0,0,0,0,0,0,-,0
2018,102,Rep. of Korea,KOR,KOR,72,Germany,GFR,DEU,86,9,0,0,0,0,0,-,0
2018,102,Rep. of Korea,KOR,KOR,94,Italy,ITA,ITA,5,0,0,0,0,0,0,-,0
2018,102,Rep. of Korea,KOR,KOR,183,Sweden,SWE,SWE,6,5,0,0,0,0,0,-,0
2018,102,Rep. of Korea,KOR,KOR,202,United States of America,USA,USA,33,207,0,0,0,0,0,-,0
2019,102,Rep. of Korea,KOR,KOR,11,Australia,AUL,AUS,37,168,0,0,0,0,0,-,0
2019,102,Rep. of Korea,KOR,KOR,27,Brazil,BRA,BRA,0,245,0,0,0,0,0,-,0
2019,102,Rep. of Korea,KOR,KOR,33,Canada,CAN,CAN,58,31,0,0,0,0,0,-,0
2019,102,Rep. of Korea,KOR,KOR,38,Chile,CHL,CHL,0,5,0,0,0,0,0,-,0
2019,102,Rep. of Korea,KOR,KOR,64,France,FRA,FRA,0,5,0,0,0,0,0,-,0
2019,102,Rep. of Korea,KOR,KOR,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,6,0,0,0,0,0,0,-,0
2019,102,Rep. of Korea,KOR,KOR,72,Germany,GFR,DEU,30,17,0,0,0,0,0,-,0
2019,102,Rep. of Korea,KOR,KOR,94,Italy,ITA,ITA,5,0,0,0,0,0,0,-,0
