year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,103,Dem. People's Rep. of Korea,KRN,PRK,11,Australia,AUL,AUS,19,0,0,0,0,0,0,-,0
2018,103,Dem. People's Rep. of Korea,KRN,PRK,17,Belgium,BEL,BEL,36,0,0,0,0,0,0,-,0
2018,103,Dem. People's Rep. of Korea,KRN,PRK,33,Canada,CAN,CAN,478,0,0,0,0,0,0,-,0
2018,103,Dem. People's Rep. of Korea,KRN,PRK,50,Denmark,DEN,DNK,9,0,0,0,0,0,0,-,0
2018,103,Dem. People's Rep. of Korea,KRN,PRK,64,France,FRA,FRA,0,6,0,0,0,0,0,-,0
2018,103,Dem. People's Rep. of Korea,KRN,PRK,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,81,29,0,0,0,0,0,-,0
2018,103,Dem. People's Rep. of Korea,KRN,PRK,72,Germany,GFR,DEU,34,57,0,0,0,0,0,-,0
2018,103,Dem. People's Rep. of Korea,KRN,PRK,90,Ireland,IRE,IRL,7,0,0,0,0,0,0,-,0
2018,103,Dem. People's Rep. of Korea,KRN,PRK,93,Israel,ISR,ISR,5,0,0,0,0,0,0,-,0
2018,103,Dem. People's Rep. of Korea,KRN,PRK,114,Luxembourg,LUX,LUX,12,0,0,0,0,0,0,-,0
2018,103,Dem. People's Rep. of Korea,KRN,PRK,138,Netherlands (Kingdom of the),NET,NLD,46,0,0,0,0,0,0,-,0
2018,103,Dem. People's Rep. of Korea,KRN,PRK,160,Russian Federation,RUS,RUS,57,14,0,0,0,0,0,-,0
2018,103,Dem. People's Rep. of Korea,KRN,PRK,183,Sweden,SWE,SWE,5,5,0,0,0,0,0,-,0
2018,103,Dem. People's Rep. of Korea,KRN,PRK,202,United States of America,USA,USA,8,35,0,0,0,0,0,-,0
2019,103,Dem. People's Rep. of Korea,KRN,PRK,11,Australia,AUL,AUS,18,10,0,0,0,0,0,-,0
2019,103,Dem. People's Rep. of Korea,KRN,PRK,17,Belgium,BEL,BEL,34,0,0,0,0,0,0,-,0
2019,103,Dem. People's Rep. of Korea,KRN,PRK,33,Canada,CAN,CAN,412,0,0,0,0,0,0,-,0
2019,103,Dem. People's Rep. of Korea,KRN,PRK,50,Denmark,DEN,DNK,8,0,0,0,0,0,0,-,0
