year,coa_name,refugees
2018,Canada,478
2018,United Kingdom of Great Britain and Northern Ireland,81
2018,Russian Federation,57
2019,Canada,412
2019,Germany,85
2019,United Kingdom of Great Britain and Northern Ireland,78
2020,Canada,370
2020,Germany,85
2020,United Kingdom of Great Britain and Northern Ireland,72
2021,Canada,255
2021,Germany,89
2021,United Kingdom of Great Britain and Northern Ireland,51
2022,Germany,91
2022,Russian Federation,37
2022,United Kingdom of Great Britain and Northern Ireland,35
2023,Germany,89
2023,Russian Federation,28
2023,Canada,26
2024,Germany,93
2024,Canada,88
2024,Netherlands (Kingdom of the),24
