year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,160,Russian Federation,RUS,RUS,8,Egypt,ARE,EGY,7,52,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,9,Argentina,ARG,ARG,70,85,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,11,Australia,AUL,AUS,54,62,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,12,Austria,AUS,AUT,9946,1635,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,13,Azerbaijan,AZE,AZE,392,30,32,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,17,Belgium,BEL,BEL,2558,665,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,25,Bolivia (Plurinational State of),BOL,BOL,5,0,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,27,Brazil,BRA,BRA,13,29,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,29,Bosnia and Herzegovina,BSN,BIH,0,5,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,30,Bulgaria,BUL,BGR,0,26,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,33,Canada,CAN,CAN,904,222,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,38,Chile,CHL,CHL,5,9,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,45,Costa Rica,COS,CRI,19,5,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,48,Cyprus,CYP,CYP,77,45,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,49,Czechia,CZE,CZE,148,53,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,50,Denmark,DEN,DNK,923,64,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,54,Ecuador,ECU,ECU,31,5,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,57,Estonia,EST,EST,22,6,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,61,Finland,FIN,FIN,730,597,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,64,France,FRA,FRA,15898,2492,0,0,0,0,0,-,0
2018,160,Russian Federation,RUS,RUS,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,571,219,0,0,0,0,0,-,0
