year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,163,Saudi Arabia,SAU,SAU,8,Egypt,ARE,EGY,0,6,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,11,Australia,AUL,AUS,94,135,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,12,Austria,AUS,AUT,5,0,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,17,Belgium,BEL,BEL,5,0,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,27,Brazil,BRA,BRA,0,16,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,33,Canada,CAN,CAN,375,269,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,49,Czechia,CZE,CZE,5,0,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,54,Ecuador,ECU,ECU,5,8,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,64,France,FRA,FRA,12,0,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,165,74,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,72,Germany,GFR,DEU,130,36,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,76,Greece,GRE,GRC,7,0,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,88,India,IND,IND,5,0,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,90,Ireland,IRE,IRL,9,7,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,92,Iraq,IRQ,IRQ,0,5,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,94,Italy,ITA,ITA,11,11,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,96,Jordan,JOR,JOR,0,21,0,0,0,0,0,-,0
2018,163,Saudi Arabia,SAU,SAU,102,Rep. of Korea,KOR,KOR,0,6,0,0,0,0,0,-,0
