year,coa_name,refugees
2018,United States of America,482
2018,Canada,375
2018,United Kingdom of Great Britain and Northern Ireland,165
2019,United States of America,568
2019,Canada,344
2019,United Kingdom of Great Britain and Northern Ireland,212
2020,United States of America,594
2020,Canada,463
2020,United Kingdom of Great Britain and Northern Ireland,256
2021,United States of America,628
2021,Canada,552
2021,United Kingdom of Great Britain and Northern Ireland,288
2022,United States of America,710
2022,United Kingdom of Great Britain and Northern Ireland,324
2022,Canada,229
2023,United States of America,714
2023,United Kingdom of Great Britain and Northern Ireland,492
2023,Germany,222
2024,United States of America,723
2024,United Kingdom of Great Britain and Northern Ireland,683
2024,Germany,216
