year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,177,Sudan,SUD,SDN,4,Algeria,ALG,DZA,5,15,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,6,Angola,ANG,AGO,280,1670,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,8,Egypt,ARE,EGY,19540,22231,20,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,9,Argentina,ARG,ARG,5,0,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,11,Australia,AUL,AUS,484,192,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,12,Austria,AUS,AUT,321,73,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,17,Belgium,BEL,BEL,174,210,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,26,Botswana,BOT,BWA,5,0,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,27,Brazil,BRA,BRA,73,116,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,30,Bulgaria,BUL,BGR,16,0,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,33,Canada,CAN,CAN,1173,735,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,34,Central African Rep.,CAR,CAF,518,13,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,36,Chad,CHD,TCD,336674,1855,1759,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,39,Cameroon,CMR,CMR,94,39,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,40,Congo,COB,COG,30,58,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,41,Dem. Rep. of the Congo,COD,COD,152,5,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,46,Cuba,CUB,CUB,0,7,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,48,Cyprus,CYP,CYP,13,0,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,49,Czechia,CZE,CZE,11,0,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,50,Denmark,DEN,DNK,71,6,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,51,Djibouti,DJB,DJI,7,0,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,54,Ecuador,ECU,ECU,5,5,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,56,Eritrea,ERT,ERI,70,0,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,57,Estonia,EST,EST,18,0,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,58,Ethiopia,ETH,ETH,44003,437,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,61,Finland,FIN,FIN,39,0,0,0,0,0,0,-,0
2018,177,Sudan,SUD,SDN,64,France,FRA,FRA,14700,3949,0,0,0,0,0,-,0
