year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,179,South Sudan,SSD,SSD,8,Egypt,ARE,EGY,7737,6885,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,11,Australia,AUL,AUS,8,29,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,12,Austria,AUS,AUT,6,5,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,17,Belgium,BEL,BEL,0,5,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,33,Canada,CAN,CAN,13,17,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,34,Central African Rep.,CAR,CAF,2573,5,2071,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,36,Chad,CHD,TCD,8,7,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,39,Cameroon,CMR,CMR,13,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,40,Congo,COB,COG,0,13,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,41,Dem. Rep. of the Congo,COD,COD,95704,4229,367,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,51,Djibouti,DJB,DJI,0,5,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,56,Eritrea,ERT,ERI,8,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,58,Ethiopia,ETH,ETH,422135,400,40237,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,61,Finland,FIN,FIN,8,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,64,France,FRA,FRA,40,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,44,22,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,72,Germany,GFR,DEU,76,79,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,73,Ghana,GHA,GHA,6,5,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,76,Greece,GRE,GRC,13,13,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,86,Iceland,ICE,ISL,5,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,88,India,IND,IND,5,85,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,92,Iraq,IRQ,IRQ,0,14,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,93,Israel,ISR,ISR,127,102,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,94,Italy,ITA,ITA,127,27,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,96,Jordan,JOR,JOR,11,10,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,99,Kenya,KEN,KEN,115202,83,4631,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,102,Rep. of Korea,KOR,KOR,0,6,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,107,Libya,LBY,LBY,0,116,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,109,Lebanon,LEB,LBN,42,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,119,Mauritania,MAU,MRT,5,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,127,Malaysia,MLS,MYS,11,27,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,128,Malawi,MLW,MWI,5,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,130,Morocco,MOR,MAR,159,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,132,Malta,MTA,MLT,22,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,139,Niger,NGR,NER,5,8,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,143,Norway,NOR,NOR,14,5,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,155,Portugal,POR,PRT,15,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,161,Rwanda,RWA,RWA,7,5,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,163,Saudi Arabia,SAU,SAU,5,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,173,Spain,SPA,ESP,0,10,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,179,South Sudan,SSD,SSD,0,0,0,1878154,0,0,10000,-,0
2018,179,South Sudan,SSD,SSD,177,Sudan,SUD,SDN,852080,0,5215,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,183,Sweden,SWE,SWE,61,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,184,Switzerland,SWI,CHE,10,6,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,185,Syrian Arab Rep.,SYR,SYR,106,0,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,196,Türkiye,TUR,TUR,5,5,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,199,Uganda,UGA,UGA,788848,439,83634,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,202,United States of America,USA,USA,24,34,0,0,0,0,0,-,0
2018,179,South Sudan,SSD,SSD,214,Zimbabwe,ZIM,ZWE,8,0,0,0,0,0,0,-,0
2019,179,South Sudan,SSD,SSD,8,Egypt,ARE,EGY,14832,4181,0,0,0,0,0,-,0
2019,179,South Sudan,SSD,SSD,11,Australia,AUL,AUS,8,40,0,0,0,0,0,-,0
2019,179,South Sudan,SSD,SSD,12,Austria,AUS,AUT,6,0,0,0,0,0,0,-,0
