year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,185,Syrian Arab Rep.,SYR,SYR,3,Albania,ALB,ALB,6,44,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,4,Algeria,ALG,DZA,14,7485,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,8,Egypt,ARE,EGY,132871,0,309,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,9,Argentina,ARG,ARG,385,95,0,0,0,0,410,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,10,Armenia,ARM,ARM,14701,8,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,11,Australia,AUL,AUS,582,100,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,12,Austria,AUS,AUT,49179,1538,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,13,Azerbaijan,AZE,AZE,15,5,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,17,Belgium,BEL,BEL,9080,2005,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,18,Benin,BEN,BEN,12,0,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,24,Belarus,BLR,BLR,66,5,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,25,Bolivia (Plurinational State of),BOL,BOL,21,8,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,27,Brazil,BRA,BRA,3455,4270,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,29,Bosnia and Herzegovina,BSN,BIH,15,67,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,30,Bulgaria,BUL,BGR,17161,215,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,33,Canada,CAN,CAN,3558,803,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,36,Chad,CHD,TCD,57,14,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,37,China,CHI,CHN,53,19,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,38,Chile,CHL,CHL,107,36,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,39,Cameroon,CMR,CMR,22,6,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,40,Congo,COB,COG,12,19,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,41,Dem. Rep. of the Congo,COD,COD,5,20,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,44,Colombia,COL,COL,8,8,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,45,Costa Rica,COS,CRI,9,12,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,46,Cuba,CUB,CUB,44,5,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,48,Cyprus,CYP,CYP,6259,2553,0,0,0,0,6000,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,49,Czechia,CZE,CZE,448,8,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,50,Denmark,DEN,DNK,19698,292,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,51,Djibouti,DJB,DJI,10,0,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,54,Ecuador,ECU,ECU,102,90,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,57,Estonia,EST,EST,146,0,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,58,Ethiopia,ETH,ETH,9,70,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,61,Finland,FIN,FIN,2497,73,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,64,France,FRA,FRA,15822,3352,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,9720,685,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,71,Georgia,GEO,GEO,428,24,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,72,Germany,GFR,DEU,532065,52396,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,73,Ghana,GHA,GHA,157,85,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,76,Greece,GRE,GRC,23931,14104,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,79,Guinea,GUI,GIN,5,5,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,84,Croatia,HRV,HRV,398,29,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,85,Hungary,HUN,HUN,971,5,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,86,Iceland,ICE,ISL,87,30,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,87,Cote d'Ivoire,ICO,CIV,92,8,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,88,India,IND,IND,83,17,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,89,Indonesia,INS,IDN,29,18,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,90,Ireland,IRE,IRL,2126,66,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,92,Iraq,IRQ,IRQ,252526,0,10760,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,94,Italy,ITA,ITA,4652,1197,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,95,Jamaica,JAM,JAM,5,0,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,96,Jordan,JOR,JOR,676283,0,8099,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,97,Japan,JPN,JPN,69,0,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,98,Kazakhstan,KAZ,KAZ,15,14,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,99,Kenya,KEN,KEN,0,11,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,100,Kyrgyzstan,KGZ,KGZ,77,14,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,102,Rep. of Korea,KOR,KOR,1177,59,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,104,Kuwait,KUW,KWT,73,50,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,106,Liberia,LBR,LBR,10,5,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,107,Libya,LBY,LBY,552,23173,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,109,Lebanon,LEB,LBN,944181,5,14496,0,0,0,2033,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,111,Liechtenstein,LIE,LIE,32,0,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,112,Sri Lanka,LKA,LKA,14,0,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,113,Lithuania,LTU,LTU,435,10,0,0,0,0,0,-,0
2018,185,Syrian Arab Rep.,SYR,SYR,114,Luxembourg,LUX,LUX,686,160,0,0,0,0,0,-,0
