year,coa_name,refugees
2018,Russian Federation,75146
2018,Italy,5861
2018,United States of America,2270
2019,Russian Federation,40393
2019,Italy,6353
2019,United States of America,2580
2020,Russian Federation,18428
2020,Italy,2920
2020,United States of America,2581
2021,Russian Federation,8921
2021,Italy,3379
2021,France,2801
2022,Russian Federation,1275315
2022,Germany,1002999
2022,Poland,958147
2023,Russian Federation,1227554
2023,Germany,1097503
2023,Poland,955891
2024,Germany,1205729
2024,Poland,991223
2024,Czechia,388388
