year,coa_name,refugees
2018,Germany,133
2018,Canada,63
2018,United Kingdom of Great Britain and Northern Ireland,52
2019,Germany,133
2019,United Kingdom of Great Britain and Northern Ireland,58
2019,Sweden,22
2020,Germany,134
2020,United Kingdom of Great Britain and Northern Ireland,62
2020,Netherlands (Kingdom of the),29
2021,Germany,125
2021,United Kingdom of Great Britain and Northern Ireland,67
2021,Canada,53
2022,Germany,227
2022,Canada,197
2022,Spain,122
2023,Germany,232
2023,Spain,153
2023,Canada,138
2024,Canada,2709
2024,Germany,228
2024,Spain,183
