year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,224,Aruba,ABW,ABW,0,398,0,0,0,0,0,15602,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,3,Albania,ALB,ALB,5,0,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,9,Argentina,ARG,ARG,16,1015,0,0,0,0,0,127152,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,11,Australia,AUL,AUS,28,153,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,12,Austria,AUS,AUT,5,25,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,17,Belgium,BEL,BEL,6,385,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,27,Brazil,BRA,BRA,35,81001,0,0,0,0,0,39771,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,33,Canada,CAN,CAN,1876,1674,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,38,Chile,CHL,CHL,9,3102,0,0,0,0,0,285122,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,44,Colombia,COL,COL,94,2729,0,0,0,0,0,1171552,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,45,Costa Rica,COS,CRI,344,5365,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,254,Curacao ,CUW,CUW,35,279,0,0,0,0,0,25686,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,49,Czechia,CZE,CZE,5,5,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,50,Denmark,DEN,DNK,0,22,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,53,Dominican Rep.,DOM,DOM,0,72,0,0,0,0,0,26428,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,54,Ecuador,ECU,ECU,15,6292,0,0,0,0,0,256265,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,61,Finland,FIN,FIN,5,8,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,64,France,FRA,FRA,304,403,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,41,21,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,72,Germany,GFR,DEU,183,468,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,76,Greece,GRE,GRC,6,34,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,78,Guatemala,GUA,GTM,17,17,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,80,Guyana,GUY,GUY,0,0,0,0,0,0,0,36400,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,83,Honduras,HON,HND,6,0,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,86,Iceland,ICE,ISL,7,7,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,90,Ireland,IRE,IRL,29,59,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,93,Israel,ISR,ISR,0,5,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,94,Italy,ITA,ITA,563,1104,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,102,Rep. of Korea,KOR,KOR,0,8,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,114,Luxembourg,LUX,LUX,0,10,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,124,Mexico,MEX,MEX,4721,5523,0,0,0,0,0,42104,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,132,Malta,MTA,MLT,5,61,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,138,Netherlands (Kingdom of the),NET,NLD,0,128,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,143,Norway,NOR,NOR,7,24,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,148,Panama,PAN,PAN,46,5068,0,0,0,0,0,94400,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,149,Paraguay,PAR,PRY,34,79,0,0,0,0,0,803,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,150,Peru,PER,PER,735,227325,0,0,0,0,0,428214,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,160,Russian Federation,RUS,RUS,0,5,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,173,Spain,SPA,ESP,72,31620,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,178,Suriname,SUR,SUR,6,34,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,183,Sweden,SWE,SWE,8,146,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,184,Switzerland,SWI,CHE,6,39,0,0,0,0,0,-,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,194,Trinidad and Tobago,TRT,TTO,497,7659,5,0,0,0,0,31843,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,201,Uruguay,URU,URY,17,51,0,0,0,0,0,11605,0
2018,207,Venezuela (Bolivarian Republic of),VEN,VEN,202,United States of America,USA,USA,11259,81800,0,0,0,0,0,-,0
2019,207,Venezuela (Bolivarian Republic of),VEN,VEN,224,Aruba,ABW,ABW,0,398,0,0,0,0,0,16602,0
2019,207,Venezuela (Bolivarian Republic of),VEN,VEN,223,Anguilla,AIA,AIA,0,0,0,0,0,0,0,11,0
2019,207,Venezuela (Bolivarian Republic of),VEN,VEN,3,Albania,ALB,ALB,5,0,0,0,0,0,0,-,0
2019,207,Venezuela (Bolivarian Republic of),VEN,VEN,9,Argentina,ARG,ARG,309,2717,0,0,0,0,0,173343,0
2019,207,Venezuela (Bolivarian Republic of),VEN,VEN,11,Australia,AUL,AUS,72,274,0,0,0,0,0,-,0
2019,207,Venezuela (Bolivarian Republic of),VEN,VEN,12,Austria,AUS,AUT,31,29,0,0,0,0,0,-,0
2019,207,Venezuela (Bolivarian Republic of),VEN,VEN,15,Barbados,BAR,BRB,0,5,0,0,0,0,0,-,0
2019,207,Venezuela (Bolivarian Republic of),VEN,VEN,17,Belgium,BEL,BEL,273,322,0,0,0,0,0,-,0
