year,coa_name,refugees
2018,United States of America,11259
2018,Mexico,4721
2018,Canada,1876
2019,Spain,35243
2019,Brazil,20941
2019,United States of America,15706
2020,Spain,75640
2020,Brazil,46675
2020,United States of America,17292
2021,Spain,88492
2021,Brazil,48931
2021,United States of America,18735
2022,Spain,105054
2022,Brazil,53307
2022,United States of America,22583
2023,Spain,133714
2023,Brazil,128570
2023,United States of America,26326
2024,Brazil,141269
2024,Spain,136485
2024,United States of America,28128
