year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2018,211,Yemen,YEM,YEM,4,Algeria,ALG,DZA,10,239,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,8,Egypt,ARE,EGY,100,8222,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,9,Argentina,ARG,ARG,15,7,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,10,Armenia,ARM,ARM,20,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,11,Australia,AUL,AUS,27,53,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,12,Austria,AUS,AUT,258,74,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,13,Azerbaijan,AZE,AZE,9,5,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,14,Bahrain,BAH,BHR,9,5,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,17,Belgium,BEL,BEL,24,95,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,18,Benin,BEN,BEN,8,5,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,24,Belarus,BLR,BLR,23,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,27,Brazil,BRA,BRA,0,86,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,29,Bosnia and Herzegovina,BSN,BIH,0,14,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,30,Bulgaria,BUL,BGR,12,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,33,Canada,CAN,CAN,1089,689,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,36,Chad,CHD,TCD,5,5,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,37,China,CHI,CHN,13,11,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,38,Chile,CHL,CHL,0,5,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,44,Colombia,COL,COL,0,7,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,46,Cuba,CUB,CUB,17,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,48,Cyprus,CYP,CYP,20,9,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,49,Czechia,CZE,CZE,15,5,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,50,Denmark,DEN,DNK,5,5,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,51,Djibouti,DJB,DJI,4694,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,54,Ecuador,ECU,ECU,50,101,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,57,Estonia,EST,EST,5,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,58,Ethiopia,ETH,ETH,1698,193,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,61,Finland,FIN,FIN,182,46,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,64,France,FRA,FRA,338,196,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,624,168,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,71,Georgia,GEO,GEO,20,35,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,72,Germany,GFR,DEU,1809,873,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,73,Ghana,GHA,GHA,0,5,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,76,Greece,GRE,GRC,369,178,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,81,Haiti,HAI,HTI,5,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,82,"China, Hong Kong SAR",HKG,HKG,12,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,84,Croatia,HRV,HRV,7,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,85,Hungary,HUN,HUN,18,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,88,India,IND,IND,0,1134,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,89,Indonesia,INS,IDN,105,249,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,90,Ireland,IRE,IRL,8,6,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,92,Iraq,IRQ,IRQ,0,114,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,94,Italy,ITA,ITA,141,54,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,96,Jordan,JOR,JOR,642,13835,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,99,Kenya,KEN,KEN,66,213,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,102,Rep. of Korea,KOR,KOR,483,308,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,104,Kuwait,KUW,KWT,5,9,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,107,Libya,LBY,LBY,0,43,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,109,Lebanon,LEB,LBN,18,136,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,112,Sri Lanka,LKA,LKA,12,5,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,114,Luxembourg,LUX,LUX,0,10,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,117,Madagascar,MAD,MDG,22,21,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,119,Mauritania,MAU,MRT,0,12,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,122,Rep. of Moldova,MDA,MDA,5,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,124,Mexico,MEX,MEX,12,21,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,127,Malaysia,MLS,MYS,163,2769,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,133,Montenegro,MNE,MNE,11,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,130,Morocco,MOR,MAR,752,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,132,Malta,MTA,MLT,0,5,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,138,Netherlands (Kingdom of the),NET,NLD,376,399,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,143,Norway,NOR,NOR,235,7,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,145,New Zealand,NZL,NZL,8,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,147,Pakistan,PAK,PAK,128,31,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,150,Peru,PER,PER,0,38,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,151,Philippines,PHI,PHL,10,12,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,154,Poland,POL,POL,9,8,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,155,Portugal,POR,PRT,7,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,158,Romania,ROM,ROU,33,9,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,159,South Africa,RSA,ZAF,0,6,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,160,Russian Federation,RUS,RUS,92,9,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,163,Saudi Arabia,SAU,SAU,27,42,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,172,Somalia,SOM,SOM,12450,54,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,173,Spain,SPA,ESP,103,500,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,177,Sudan,SUD,SDN,1013,2619,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,180,Slovakia,SVK,SVK,19,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,181,Slovenia,SVN,SVN,5,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,183,Sweden,SWE,SWE,1343,228,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,184,Switzerland,SWI,CHE,336,20,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,185,Syrian Arab Rep.,SYR,SYR,159,135,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,188,Thailand,THA,THA,32,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,195,Tunisia,TUN,TUN,0,32,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,196,Türkiye,TUR,TUR,169,608,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,198,United Arab Emirates,UAE,ARE,5,33,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,199,Uganda,UGA,UGA,20,0,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,200,Ukraine,UKR,UKR,5,6,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,202,United States of America,USA,USA,606,800,0,0,0,0,0,-,0
2018,211,Yemen,YEM,YEM,211,Yemen,YEM,YEM,0,0,0,2144719,133600,0,0,-,0
2019,211,Yemen,YEM,YEM,4,Algeria,ALG,DZA,257,0,0,0,0,0,0,-,0
2019,211,Yemen,YEM,YEM,8,Egypt,ARE,EGY,126,9032,0,0,0,0,0,-,0
2019,211,Yemen,YEM,YEM,9,Argentina,ARG,ARG,19,5,0,0,0,0,0,-,0
2019,211,Yemen,YEM,YEM,10,Armenia,ARM,ARM,22,0,0,0,0,0,0,-,0
2019,211,Yemen,YEM,YEM,11,Australia,AUL,AUS,59,129,0,0,0,0,0,-,0
2019,211,Yemen,YEM,YEM,12,Austria,AUS,AUT,311,70,0,0,0,0,0,-,0
2019,211,Yemen,YEM,YEM,13,Azerbaijan,AZE,AZE,11,0,0,0,0,0,0,-,0
2019,211,Yemen,YEM,YEM,14,Bahrain,BAH,BHR,9,5,0,0,0,0,0,-,0
2019,211,Yemen,YEM,YEM,17,Belgium,BEL,BEL,51,56,0,0,0,0,0,-,0
2019,211,Yemen,YEM,YEM,18,Benin,BEN,BEN,11,0,0,0,0,0,0,-,0
2019,211,Yemen,YEM,YEM,20,Bangladesh,BGD,BGD,5,0,0,0,0,0,0,-,0
2019,211,Yemen,YEM,YEM,24,Belarus,BLR,BLR,24,5,0,0,0,0,0,-,0
2019,211,Yemen,YEM,YEM,27,Brazil,BRA,BRA,0,124,0,0,0,0,0,-,0
2019,211,Yemen,YEM,YEM,29,Bosnia and Herzegovina,BSN,BIH,0,10,0,0,0,0,8,-,0
2019,211,Yemen,YEM,YEM,30,Bulgaria,BUL,BGR,13,5,0,0,0,0,0,-,0
